#Aplicación presupuestaria,Economico,Desc. capítulo,Desc. Economico,Suma Prev. inicial,Suma Modificaciones,Suma Prev. definitiva,Suma DR netos
2011,39610,,Quotes d'Urbanització,1,0,1,0
2011,39700,,Canon por aprovechamiento,0,0,0,0
2011,39800,,Indemnizaciones de seguro,0,0,0,0
2011,39900,,Altres Ing. Paper Cartro,52000,0,52000,40827.94
2011,39901,,Altres Ing. Edictes Contr,10000,0,10000,810.9
2011,39902,,Altres Ing. Conces. Aigua,35000,0,35000,31870.78
2011,39903,,Altr.Ing.Con.Piscin.Estiu,15000,0,15000,7463.71
2011,39904,,Altr.Ing. Beques Menjador,10000,0,10000,4831.66
2011,39905,,Altr.Ingr.Exec.Subsidiari,1,0,1,0
2011,39906,,Altr.Ing.Retir.Vehi.Aband,10000,0,10000,0
2011,39909,,Altres Ingressos,5000,220065.22,225065.22,324123.77
2011,42000,,Particip. Tributs d'Estat,3650000,0,3650000,2964674.64
2011,42020,,Compens. Benefic. Fiscals,1,0,1,0
2011,42090,,Altres Transfer d'Estat,1,42026.65,42027.65,43647.13
2011,42100,,Aportacions S.P.E.E.,1,0,1,0
2011,45080,,Subvencions Generalitat,389246.09,135989.79,525235.88,495290.46
2011,46100,,Subvencions Diputació,19969.4,24000,43969.4,78214.98
2011,46600,,Subvencions F.V.M.P.,61159.59,294.35,61453.94,67360.49
2011,46601,,Subvencio F.E.M.P.,0,0,0,1500
2011,49000,,Subvencions Fons Europeus,1,112934.88,112935.88,110058.21
2011,49700,,Otras transferencias de l,0,5280,5280,7939.6
2011,52000,,Interessos Dipòsits E.B.,90000,0,90000,1616.17
2011,54100,,Renda de Bens Immobles,1,0,1,1916.1
2011,55000,,C.A. Terrenys antenes,10000,0,10000,9512.27
2011,55001,,C.A. Quiosc Parc Estació,1500,0,1500,0
2011,55002,,C.A. Bar Llar Jubilats,2000,0,2000,0
2011,55003,,C.A. Bar Pisicna Estiu,6500,0,6500,7627.12
2011,55004,,C.A. Parades Mercat,25000,0,25000,17716.34
2011,55005,,C.A. Serv. Aigua Potable,977870.74,0,977870.74,0
2011,55009,,Altres Concessions Admini,1,0,1,0
2011,55100,,Cessió de Ninxols,60000,0,60000,33118.24
2011,55900,,Canon Energètic,1,0,1,0
2011,60000,,Alienació solars municipa,1,0,1,0
2011,72000,,Subvencions de l'Estat,0,0,0,0
2011,72100,,Subvencions S.P.E.E,0,16666.72,16666.72,15333.25
2011,75080,,Subvencions Generalitat,0,224972.82,224972.82,117476.21
2011,76100,,Subvencions Diputació,0,162576,162576,152576
2011,77000,,Aportacions Ent. Privades,0,0,0,0
2011,78000,,Aportacions Urbanístiques,0,0,0,0
2011,83000,,Reintegrament Avançaments,1,5295.12,5296.12,5295.12
2011,87010,,Para gastos con financiac,0,2951797.44,2951797.44,0
2011,91300,,Préstecs Entitats Finance,0,0,0,364745.59
#,,,,13877706.82,3904760.07,17782466.89,12043223.29
