#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Área gasto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2017.0.0.2318.0.12009,2318,12009,Educador de Carrer,Retribucions bàsiques,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,17493.78,174.94,17668.72,17809.44
2017.0.0.2318.1711.12009,2318,12009,Educador de Carrer,Altres retribucions bàsiques,1711,Programa Ebro Foods 2017,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,8256.34,8256.34,783.0
2017.0.0.2319.0.12009,2319,12009,Ajuda a la dependència,Retribucions bàsiques,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,14566.95
2017.0.0.2410.1619.12009,2410,12009,Escoles Taller,Altres retribucions bàsiques,1619,FOTAE/2016/40/46 Taller ocupació,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,158335.0,158335.0,155894.08
2017.0.0.2410.1712.12009,2410,12009,Escoles Taller,Altres retribucions bàsiques,1712,T.E. SILLA EN MARXA II - FOTAE/2017/40/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1316.19,1316.19,1316.19
2017.0.0.2410.1713.12009,2410,12009,Escoles Taller,Altres retribucions bàsiques,1713,E.T. FORMEM SILLA EMPLEA FETFO/2017/14/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,732.73,732.73,732.73
2017.0.0.2411.1616.12009,2411,12009,Promoció de l'ocupació,Altres retribucions bàsiques,1616,FME99/2016/23/46 ingles gestión comercial,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,339.2
2017.0.0.2411.1617.12009,2411,12009,Promoció de l'ocupació,Altres retribucions bàsiques,1617,FME99/2016/22/46 neteja,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,6848.45
2017.0.0.3121.0.12009,3121,12009,Servei Mèdic,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,20169.5,201.7,20371.2,20370.22
2017.0.0.3231.0.12009,3231,12009,Centres educatius,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,64198.81,4940.09,69138.9,63837.92
2017.0.0.3264.0.12009,3264,12009,Gabinet psicopedagògic,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,33730.06,337.3,34067.36,34056.53
2017.0.0.3300.0.12009,3300,12009,Animador Cultural,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,19592.89,195.93,19788.82,19787.79
2017.0.0.3321.0.12009,3321,12009,Biblioteques públiques,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,50547.03,7099.42,57646.45,48412.51
2017.0.0.3322.0.12009,3322,12009,Arxius,Otras retribuciones básicas,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,41719.35,417.19,42136.54,28955.77
2017.0.0.3341.0.12009,3341,12009,Casa de la Cultura,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,22771.02,227.71,22998.73,22728.29
2017.0.0.3370.0.12009,3370,12009,Ponència de Joventut,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,37874.04,6178.1,44052.14,65149.95
2017.0.0.3380.0.12009,3380,12009,Festes Populars,Otras retribuciones básicas,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,20062.24,-1103.49,18958.75,21414.77
2017.0.0.3420.0.12009,3420,12009,Piscina d'Estiu,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,4186.25,4186.25,5786.45
2017.0.0.3421.0.12009,3421,12009,Poliesportiu Municipal,Retribucions bàsiques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,51105.91,511.06,51616.97,50499.38
2017.0.0.4100.0.12009,4100,12009,Consell Local Agrari,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER ECONÓMICO,59964.94,-16754.47,43210.47,48429.81
2017.0.0.4190.0.12009,4190,12009,Vedat de caça,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER ECONÓMICO,10138.7,101.39,10240.09,10020.2
2017.0.0.4300.0.12009,4300,12009,Promoció Econòmica,Otras retribuciones básicas,,,ACTUACIONES DE CARÁCTER ECONÓMICO,49239.58,12407.22,61646.8,68564.1
2017.0.0.4930.0.12009,4930,12009,O.M.I.C.,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER ECONÓMICO,13836.55,138.37,13974.92,13973.49
2017.0.0.9201.0.12009,9201,12009,Secretaria,Altres retribucions bàsiques,,,ACTUACIONES DE CARÁCTER GENERAL,130784.06,-19178.3,111605.76,111605.76
2017.0.0.9204.0.12009,9204,12009,Departament informàtica,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER GENERAL,43254.72,432.55,43687.27,43720.87
2017.0.0.9209.0.12009,9209,12009,Departament de Personal,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER GENERAL,60358.65,-19709.11,40649.54,40649.54
2017.0.0.9250.0.12009,9250,12009,Atenció ciutadà,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER GENERAL,56566.52,-10339.47,46227.05,46699.43
2017.0.0.9292.0.12009,9292,12009,Taller,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER GENERAL,16563.12,-5210.76,11352.36,16011.22
2017.0.0.9310.0.12009,9310,12009,Àrea Econòmica,Retribucions bàsiques,,,ACTUACIONES DE CARÁCTER GENERAL,159376.05,1593.76,160969.81,158082.05
2017.1.0.2318.1611.12009,2318,12009,Educador de Carrer,Altres retribucions bàsiques,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,11563.81,11563.81,5450.56
2017.1.0.2410.1619.12009,2410,12009,Escoles Taller,Altres retribucions bàsiques,1619,FOTAE/2016/40/46 Taller ocupació,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,12.4,12.4,0.0
2017.0.0.1320.0.12103,1320,12103,Seguretat i orgre públic,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,756747.8,-47608.83,709138.97,707641.65
2017.0.0.1510.0.12103,1510,12103,Urbanisme,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,161152.18,-37023.56,124128.62,120971.84
2017.0.0.1531.0.12103,1531,12103,Obres,Altres retribucions complementàries,,,SERVICIOS PÚBLICOS BÁSICOS,105578.33,-27479.99,78098.34,72530.17
2017.0.0.1532.0.12103,1532,12103,Vies públiques,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,11124.06,111.24,11235.3,0.0
2017.0.0.1610.0.12103,1610,12103,Servei d'Aigua Potable,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,26791.19,267.91,27059.1,26193.45
2017.0.0.1640.0.12103,1640,12103,Cementeri Municipal,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,24410.39,5049.72,29460.11,30722.38
2017.0.0.1650.0.12103,1650,12103,Enllumenat Públic,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,60580.67,-16182.69,44397.98,40745.04
2017.0.0.1700.0.12103,1700,12103,Medi ambient,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,25859.36,258.59,26117.95,26113.56
2017.0.0.1710.0.12103,1710,12103,Parcs i Jardins,Retribucions complementar,,,SERVICIOS PÚBLICOS BÁSICOS,37933.64,-15070.77,22862.87,23320.4
2017.0.0.2310.0.12103,2310,12103,Assistència Social,Retribucions complementar,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,87782.61,3694.25,91476.86,78501.89
2017.0.0.2313.0.12103,2313,12103,Prevenció Drogodependenc.,Otros complementos,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,18899.4,188.99,19088.39,19085.25
2017.0.0.2318.0.12103,2318,12103,Educador de Carrer,Retribucions complementar,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,18177.32,181.77,18359.09,18214.56
2017.0.0.2318.1711.12103,2318,12103,Educador de Carrer,Altres retribucions complementàries,1711,Programa Ebro Foods 2017,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,4610.48,4610.48,557.67
2017.0.0.2319.0.12103,2319,12103,Ajuda a la dependència,Retribucions complementar,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,11541.23
2017.0.0.3121.0.12103,3121,12103,Servei Mèdic,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,30460.32,304.6,30764.92,30759.8
2017.0.0.3231.0.12103,3231,12103,Centres educatius,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,65143.44,651.43,65794.87,68832.91
2017.0.0.3264.0.12103,3264,12103,Gabinet psicopedagògic,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,37798.79,377.99,38176.78,38494.49
2017.0.0.3300.0.12103,3300,12103,Animador Cultural,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,18899.4,188.99,19088.39,19085.25
2017.0.0.3321.0.12103,3321,12103,Biblioteques públiques,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,47871.41,478.71,48350.12,54065.14
2017.0.0.3322.0.12103,3322,12103,Arxius,Otros complementos,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,43093.98,430.94,43524.92,29266.55
2017.0.0.3341.0.12103,3341,12103,Casa de la Cultura,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,32784.78,327.85,33112.63,33108.88
2017.0.0.3370.0.12103,3370,12103,Ponència de Joventut,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,46456.98,5015.61,51472.59,80679.95
2017.0.0.3380.0.12103,3380,12103,Festes Populars,Otros complementos,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,23674.6,236.75,23911.35,24789.81
2017.0.0.3420.0.12103,3420,12103,Piscina d'Estiu,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,0.0,0.0,2537.12
2017.0.0.3421.0.12103,3421,12103,Poliesportiu Municipal,Retribucions complementar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,79143.45,791.43,79934.88,78755.83
2017.0.0.4100.0.12103,4100,12103,Consell Local Agrari,Retribucions complementar,,,ACTUACIONES DE CARÁCTER ECONÓMICO,75669.14,-7633.46,68035.68,62625.88
2017.0.0.4190.0.12103,4190,12103,Vedat de caça,Retribucions complementar,,,ACTUACIONES DE CARÁCTER ECONÓMICO,12821.03,128.21,12949.24,12945.33
2017.0.0.4300.0.12103,4300,12103,Promoció Econòmica,Otros complementos,,,ACTUACIONES DE CARÁCTER ECONÓMICO,54325.56,15527.86,69853.42,74388.83
2017.0.0.4930.0.12103,4930,12103,O.M.I.C.,Retribucions complementar,,,ACTUACIONES DE CARÁCTER ECONÓMICO,13828.73,138.29,13967.02,13964.76
2017.0.0.9201.0.12103,9201,12103,Secretaria,Retribucions complementar,,,ACTUACIONES DE CARÁCTER GENERAL,186211.09,-23964.99,162246.1,162246.1
2017.0.0.9204.0.12103,9204,12103,Departament informàtica,Retribucions complementar,,,ACTUACIONES DE CARÁCTER GENERAL,53609.73,536.1,54145.83,53951.57
2017.0.0.9209.0.12103,9209,12103,Departament de Personal,Retribucions complementar,,,ACTUACIONES DE CARÁCTER GENERAL,77490.89,-30057.45,47433.44,47433.44
2017.0.0.9250.0.12103,9250,12103,Atenció ciutadà,Retribucions complementar,,,ACTUACIONES DE CARÁCTER GENERAL,75483.38,-15210.83,60272.55,60272.55
2017.0.0.9292.0.12103,9292,12103,Taller,Retribucions complementar,,,ACTUACIONES DE CARÁCTER GENERAL,21917.23,219.17,22136.4,17416.14
2017.0.0.9310.0.12103,9310,12103,Àrea Econòmica,Retribucions complementar,,,ACTUACIONES DE CARÁCTER GENERAL,224844.78,2248.45,227093.23,231331.04
2017.1.0.2318.1611.12103,2318,12103,Educador de Carrer,Altres retribucions complementàries,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,2986.05
2017.0.0.1510.0.13002,1510,13002,Urbanisme,Otras remuneraciones,,,SERVICIOS PÚBLICOS BÁSICOS,17943.41,2295.76,20239.17,20194.22
2017.0.0.1531.0.13002,1531,13002,Obres,Personal laboral fix,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,0.0,0.0,20639.56
2017.0.0.1532.0.13002,1532,13002,Vies públiques,Personal laboral fix,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,0.0,0.0,21772.38
2017.0.0.2310.0.13002,2310,13002,Assistència Social,Personal laboral fix,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,3534.32
2017.0.0.2318.0.13002,2318,13002,Educador de Carrer,Altres retribucions personal laborar fix,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,19816.39,198.16,20014.55,18270.11
2017.0.0.3113.0.13002,3113,13002,Ciutats sanes,Personal laboral fix,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,15666.37,541.85,16208.22,14455.1
2017.0.0.3261.0.13002,3261,13002,Centre de formació de persones adultes,Personal laboral fix,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,44241.89,442.42,44684.31,37900.64
2017.0.0.3330.0.13002,3330,13002,Escola de teatre,Personal laboral fix,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,6018.05,60.18,6078.23,6041.29
2017.0.0.3420.0.13002,3420,13002,Piscina d'Estiu,Personal laboral fix,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,14833.44,148.33,14981.77,5428.4
2017.0.0.9250.0.13002,9250,13002,Atenció ciutadà,Otras remuneraciones,,,ACTUACIONES DE CARÁCTER GENERAL,17807.01,-76.02,17730.99,17982.84
2017.0.0.1510.0.131,1510,131,Urbanisme,Laboral temporal,,,SERVICIOS PÚBLICOS BÁSICOS,345.89,3.46,349.35,0.0
2017.0.0.1531.0.131,1531,131,Obres,Personal Laboral eventual,,,SERVICIOS PÚBLICOS BÁSICOS,19395.82,16306.55,35702.37,2248.98
2017.0.0.2316.0.131,2316,131,Centre de dia infància,Laboral temporal,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,31249.72,312.5,31562.22,31247.73
2017.0.0.2318.0.131,2318,131,Educador de Carrer,Personal Laboral eventual,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,47154.37,471.54,47625.91,46311.76
2017.0.0.2319.0.131,2319,131,Ajuda a la dependència,Personal Laboral eventual,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,26355.23,263.55,26618.78,376.48
2017.0.0.2410.0.131,2410,131,Escoles Taller,Personal Laboral eventual,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,4653.93,46.54,4700.47,3888.22
2017.0.0.2410.1619.131,2410,131,Escoles Taller,Laboral temporal,1619,FOTAE/2016/40/46 Taller ocupació,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,295628.33,295628.33,281017.64
2017.0.0.2410.1712.131,2410,131,Escoles Taller,Laboral temporal,1712,T.E. SILLA EN MARXA II - FOTAE/2017/40/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,2397.0,2397.0,2397.0
2017.0.0.2410.1713.131,2410,131,Escoles Taller,Laboral temporal,1713,E.T. FORMEM SILLA EMPLEA FETFO/2017/14/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1598.0,1598.0,1598.0
2017.0.0.2411.1613.131,2411,131,Promoció de l'ocupació,Laboral temporal,1613,programa EMCORP/2016/439/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,45933.45,45933.45,37318.51
2017.0.0.2411.1614.131,2411,131,Promoció de l'ocupació,Laboral temporal,1614,ECORJV/2016/425/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,39421.8,39421.8,34476.0
2017.0.0.2411.1615.131,2411,131,Promoció de l'ocupació,Laboral temporal,1615,EMCOLD/2016/39/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,23974.11,23974.11,21038.96
2017.0.0.2411.1616.131,2411,131,Promoció de l'ocupació,Laboral temporal,1616,FME99/2016/23/46 ingles gestión comercial,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1412.71,1412.71,1144.1
2017.0.0.2411.1617.131,2411,131,Promoció de l'ocupació,Laboral temporal,1617,FME99/2016/22/46 neteja,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,6848.45,6848.45,0.0
2017.0.0.2411.1618.131,2411,131,Promoció de l'ocupació,Laboral temporal,1618,EMCORD/2016/19/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,23768.19,23768.19,22580.15
2017.0.0.2411.1704.131,2411,131,Promoció de l'ocupació,Laboral temporal,1704,Garantía juvenil joves qualificatats-EMCUJU/2017/399/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,185992.33,185992.33,59925.56
2017.0.0.2411.1705.131,2411,131,Promoció de l'ocupació,Laboral temporal,1705,Garantia juvenil joves no qualificats-EMPUJU/2017/221/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,408231.61,408231.61,141597.98
2017.0.0.2411.1714.131,2411,131,Promoció de l'ocupació,Laboral temporal,1714,Contractació a persones desocupades EMCORP/2017/189/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1730.24,1730.24,1803.26
2017.0.0.2411.1715.131,2411,131,Promoció de l'ocupació,Laboral temporal,1715,Contractació persones desocupades llarga duració EMCORD/2017/294/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,8999.03,8999.03,8954.4
2017.0.0.2412.0.131,2412,131,Bossa d'ocupació,Personal Laboral eventual,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,165000.0,-10341.37,154658.63,139284.14
2017.0.0.2412.1702.131,2412,131,Bossa d'ocupació,Laboral temporal,1702,Plan de empleo 2016 [Subvenció Diputació],ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,24067.74,24067.74,24067.74
2017.0.0.3231.0.131,3231,131,Centres educatius,Laboral temporal,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,315.02,-315.02,0.0,0.0
2017.0.0.3250.0.131,3250,131,Monitor despertador,Laboral temporal,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3067.47,30.67,3098.14,1729.73
2017.0.0.3261.0.131,3261,131,Centre de formació de persones adultes,Personal Laboral eventual,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,11769.16,2957.49,14726.65,16554.83
2017.0.0.3370.0.131,3370,131,Ponència de Joventut,Personal Laboral eventual,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,58402.37,-15527.76,42874.61,4528.42
2017.0.0.3380.0.131,3380,131,Festes Populars,Laboral temporal,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,4275.82,42.76,4318.58,0.0
2017.0.0.3420.0.131,3420,131,Piscina d'Estiu,Personal Laboral eventual,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,5222.08,52.22,5274.3,9960.69
2017.0.0.3421.0.131,3421,131,Poliesportiu Municipal,Laboral temporal,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,94.11,0.94,95.05,0.0
2017.0.0.4190.0.131,4190,131,Vedat de caça,Personal Laboral eventual,,,ACTUACIONES DE CARÁCTER ECONÓMICO,1177.52,35821.26,36998.78,14679.8
2017.0.0.4300.0.131,4300,131,Promoció Econòmica,Laboral temporal,,,ACTUACIONES DE CARÁCTER ECONÓMICO,17139.6,171.4,17311.0,0.0
2017.1.0.2410.1619.131,2410,131,Escoles Taller,Laboral temporal,1619,FOTAE/2016/40/46 Taller ocupació,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,3.88,3.88,0.0
2017.1.0.2411.1613.131,2411,131,Promoció de l'ocupació,Laboral temporal,1613,programa EMCORP/2016/439/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,3151.67,3151.67,0.0
2017.1.0.2411.1614.131,2411,131,Promoció de l'ocupació,Laboral temporal,1614,ECORJV/2016/425/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,4380.54,4380.54,0.0
2017.1.0.2411.1615.131,2411,131,Promoció de l'ocupació,Laboral temporal,1615,EMCOLD/2016/39/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,2807.45,2807.45,0.0
2017.1.0.2411.1617.131,2411,131,Promoció de l'ocupació,Laboral temporal,1617,FME99/2016/22/46 neteja,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.01,0.01,0.0
2017.1.0.2411.1618.131,2411,131,Promoció de l'ocupació,Laboral temporal,1618,EMCORD/2016/19/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.03,0.03,0.0
2017.1.0.4190.0.131,4190,131,Vedat de caça,Laboral temporal,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,24978.96,24978.96,20232.3
2017.0.0.1320.0.150,1320,150,Seguretat i orgre públic,Complement Productivitat,,,SERVICIOS PÚBLICOS BÁSICOS,66906.04,-3965.09,62940.95,56583.58
2017.0.0.9200.0.150,9200,150,Serveis Generals,Productivitat,,,ACTUACIONES DE CARÁCTER GENERAL,5000.0,-3841.28,1158.72,0.0
2017.0.0.4190.0.151,4190,151,Vedat de caça,Dotació gratificació per serveis de caracter extraordinari,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,93.6,93.6,93.6
2017.0.0.1320.0.16000,1320,16000,Seguretat i orgre públic,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,390908.57,-83576.09,307332.48,307216.94
2017.0.0.1510.0.16000,1510,16000,Urbanisme,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,96743.61,-20768.82,75974.79,66125.0
2017.0.0.1531.0.16000,1531,16000,Obres,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,63160.46,-17010.04,46150.42,41411.27
2017.0.0.1532.0.16000,1532,16000,Vies públiques,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,6621.49,66.21,6687.7,5340.73
2017.0.0.1610.0.16000,1610,16000,Servei d'Aigua Potable,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,14606.56,-126.7,14479.86,14669.2
2017.0.0.1640.0.16000,1640,16000,Cementeri Municipal,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,13207.52,179.63,13387.15,11359.43
2017.0.0.1650.0.16000,1650,16000,Enllumenat Públic,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,30484.45,-6171.92,24312.53,19524.63
2017.0.0.1700.0.16000,1700,16000,Medi ambient,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,14065.12,140.65,14205.77,11706.2
2017.0.0.1710.0.16000,1710,16000,Parcs i Jardins,Quotes socials,,,SERVICIOS PÚBLICOS BÁSICOS,20674.21,-7677.78,12996.43,10367.37
2017.0.0.2310.0.16000,2310,16000,Assistència Social,Quotes socials,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,52334.79,2809.32,55144.11,44959.59
2017.0.0.2313.0.16000,2313,16000,Prevenció Drogodependenc.,Seguridad Social,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,11414.31,114.14,11528.45,9657.86
