#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2017.0.0.0.0.46601,46601,TRANSFERENCIA CORRIENTES,Subvencio F.E.M.P.,0.0,0.0,0.0,3684.95
2017.0.0.0.0.48000,48000,TRANSFERENCIA CORRIENTES,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,0.0,20000.0,20000.0,20000.0
2017.0.0.0.0.49700,49700,TRANSFERENCIA CORRIENTES,Otras transferencias de la Unión Europea,0.0,0.0,0.0,774.44
2017.0.0.0.0.52000,52000,INGRESOS PATRIMONIALES,Interessos Dipòsits E.B.,2252.78,0.0,2252.78,647.39
2017.0.0.0.0.55003,55003,INGRESOS PATRIMONIALES,C.A. Bar Pisicna Estiu,7438.02,0.0,7438.02,3149.09
2017.0.0.0.0.55004,55004,INGRESOS PATRIMONIALES,C.A. Parades Mercat,18690.0,0.0,18690.0,19567.72
2017.0.0.0.0.55005,55005,INGRESOS PATRIMONIALES,C.A. Serv. Aigua Potable,6767.0,0.0,6767.0,0.0
2017.0.0.0.0.55006,55006,INGRESOS PATRIMONIALES,Escoleta infantil,20107.94,0.0,20107.94,20530.67
2017.0.0.0.0.55007,55007,INGRESOS PATRIMONIALES,Concessions administratives-col.legi Sagrada Samilia,6.0,0.0,6.0,18.0
2017.0.0.0.0.55009,55009,INGRESOS PATRIMONIALES,Altres Concessions Admini,0.0,0.0,0.0,1312.35
2017.0.0.0.0.55100,55100,INGRESOS PATRIMONIALES,Cessió de Ninxols,30000.0,0.0,30000.0,32498.0
2017.0.0.0.0.72100,72100,TRANSFERENCIAS DE CAPITAL,Del Servicio Público de Empleo Estatal,19267.0,20813.85,40080.85,39252.84
2017.0.0.0.0.75080,75080,TRANSFERENCIAS DE CAPITAL,Otras transferencias de capital de la Administración General de la Comunidad Autónoma,0.0,997.12,997.12,997.12
2017.0.0.0.0.76100,76100,TRANSFERENCIAS DE CAPITAL,Subvencions Diputació,130080.0,226808.15,356888.15,356585.96
2017.0.0.0.0.87000,87000,ACTIVOS FINANCIEROS,Para gastos generales,0.0,543947.82,543947.82,0.0
2017.0.0.0.0.87010,87010,ACTIVOS FINANCIEROS,Para gastos con financiación afectada,0.0,1660381.48,1660381.48,0.0
#,,,,12227726.87,4470307.01,16698033.88,14994089.16
