#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2017.0.0.1532.0.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,,15000.0,,6086.62
2017.1.0.1532.0006.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,0006,Urb. Av. Xuquer [pluvials,,24582.75,,
2017.1.0.1532.005.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,005,Urbanit. Espioca [pluvial,,25519.68,,
2017.1.0.1532.0.210,1532,210,Vies públiques,Rep mnment.conser.Infrastructures i bens naturals,,,,1896.87,,1837.58
2017.1.0.1532.0238.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,0238,Molí Magallo,,93156.88,,
2017.1.0.1532.0415.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,0415,Urbanitzacio Pla Bega,,125179.12,,
2017.1.0.1532.0630.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,0630,U.E. Maset,,2782.36,,
2017.1.0.1532.0.770,1532,770,Vies públiques,A Empresses Pivades,,,,11680.91,,
2017.1.0.1532.0917.623,1532,623,Vies públiques,"Inversió nova en maquinaria, instalacions técniques i utillatge",0917,ADQUISICIO MATERIAL OBRES,,288.92,,
2017.1.0.1532.1005.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1005,MOBILIARI URBA I SENYALS,,1.0,,
2017.1.0.1532.1520.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1520,Remodelació plaça del Poble [Diputació IFS 2015],,49070.31,,49070.31
2017.0.0.1610.0.12009,1610,12009,Servei d'Aigua Potable,Retribucions bàsiques,,,21170.85,-668.19,,14778.41
2017.0.0.1610.0.12103,1610,12103,Servei d'Aigua Potable,Retribucions complementar,,,26791.19,267.91,,19214.44
2017.0.0.1610.0.16000,1610,16000,Servei d'Aigua Potable,Quotes socials,,,14606.56,-126.7,,9726.14
2017.0.0.1610.0.22799,1610,22799,Servei d'Aigua Potable,Otros trabajos realizados por otras empresas y profesionales,,,,19965.0,,19965.0
2017.0.0.1621.0.22799,1621,22799,Recogida de residuos,Treb.real.altres empreses,,,342502.02,,,
2017.0.0.1630.0.22799,1630,22799,Neteja viaria,Otros trabajos realizados por otras empresas y profesionales,,,370663.18,28403.73,,206695.05
2017.0.0.1640.0.12009,1640,12009,Cementeri Municipal,Retribucions bàsiques,,,19060.5,6005.95,,15762.27
2017.0.0.1640.0.12103,1640,12103,Cementeri Municipal,Retribucions complementar,,,24410.39,5049.72,,23101.29
2017.0.0.1640.0.16000,1640,16000,Cementeri Municipal,Quotes socials,,,13207.52,179.63,,6402.98
2017.0.0.1640.0.212,1640,212,Cementeri Municipal,Rep.mment.i cons.edificis,,,2904.0,842.47,,2475.41
2017.0.0.1640.0.22100,1640,22100,Cementeri Municipal,Subministres,,,2174.88,,,1512.0
2017.0.0.1640.0.619,1640,619,Cementeri Municipal,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,,52404.46,,
2017.0.0.1650.0.12009,1650,12009,Enllumenat Públic,Retribucions bàsiques,,,39346.61,-8006.11,,20923.2
2017.0.0.1650.0.12103,1650,12103,Enllumenat Públic,Retribucions complementar,,,60580.67,-16182.69,,29578.12
2017.0.0.1650.0.16000,1650,16000,Enllumenat Públic,Quotes socials,,,30484.45,-6171.92,,12942.74
2017.0.0.1650.0.213,1650,213,Enllumenat Públic,Rep.mment i cons.Maquinar,,,23630.0,,,8846.55
2017.0.0.1650.0.22100,1650,22100,Enllumenat Públic,Energia elèctrica,,,170640.72,148208.25,,106237.47
2017.1.0.1650.1506.619,1650,619,Enllumenat Públic,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1506,CONVENI SUBSTITUCIO LLUMS ENLLUMENAT PUBLIC TECNOLOGIA LED,,200000.0,,
2017.0.0.1700.0.12009,1700,12009,Medi ambient,Retribucions bàsiques,,,20169.5,201.7,,14760.97
2017.0.0.1700.0.12103,1700,12103,Medi ambient,Retribucions complementar,,,25859.36,258.59,,18652.08
2017.0.0.1700.0.16000,1700,16000,Medi ambient,Quotes socials,,,14065.12,140.65,,7757.14
2017.0.0.1700.0.22799,1700,22799,Medi ambient,Altres treballs realitzats per altres empreses i professionals,,,,15000.0,,
2017.0.0.1710.0.12009,1710,12009,Parcs i Jardins,Retribucions bàsiques,,,29882.24,-9685.0,,14206.3
2017.0.0.1710.0.12103,1710,12103,Parcs i Jardins,Retribucions complementar,,,37933.64,-15070.77,,16282.86
2017.0.0.1710.0.16000,1710,16000,Parcs i Jardins,Quotes socials,,,20674.21,-7677.78,,7825.42
2017.0.0.1710.0.210,1710,210,Parcs i Jardins,Rep mment.conser.Infrastr,,,143563.73,,,38670.76
2017.0.0.1710.0.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,,64763.48,,16685.46
2017.1.0.1710.1518.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1518,Remodelació jardins de la Bega [Diputació IFS 2015],,104.32,,
2017.1.0.1710.1529.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1529,Remodelació Parc de l'Alteró [Diputació IFS 2015],,86.92,,
2017.0.0.1721.0.22699,1721,22699,Protecció i millora medi ambient,Despeses diverses,,,2376.0,,,2911.7
2017.0.0.1721.0.22799,1721,22799,Protecció i millora medi ambient,Treb.real.altres empreses,,,5000.0,,,
2017.0.0.2210.0.16200,2210,16200,Personal actiu,Formación y perfeccionamiento del personal,,,,,,560.95
2017.0.0.2210.0.16205,2210,16205,Personal actiu,Despese socials [pla formació],,,1625.0,,,158.0
2017.0.0.2210.0.16209,2210,16209,Personal actiu,Despes. soc.-Prev riscos,,,17435.0,,,13064.25
2017.0.0.2211.0.16205,2211,16205,Segur. protec. i prom.soc,Despeses socials,,,5220.8,-1603.7,,3454.93
2017.0.0.2310.0.12009,2310,12009,Assistència Social,Retribucions bàsiques,,,83435.14,5395.09,,61335.71
2017.0.0.2310.0.12103,2310,12103,Assistència Social,Retribucions complementar,,,87782.61,3694.25,,56411.71
2017.0.0.2310.0.13002,2310,13002,Assistència Social,Personal laboral fix,,,,,,3507.5
2017.0.0.2310.0.16000,2310,16000,Assistència Social,Quotes socials,,,52334.79,2809.32,,30743.6
2017.0.0.2310.0.22699,2310,22699,Assistència Social,Despeses diverses,,,1000.0,,,944.0
2017.0.0.2311.0.22799,2311,22799,Emergència social,Altres treballs realitzats per altres empreses i professionals,,,8000.0,14967.65,,16865.2
2017.0.0.2311.0.480,2311,480,Emergència social,Ajudes indiv i atenc bene,,,65000.0,,,42131.3
2017.0.0.2311.0.483,2311,483,Emergència social,Ajudes per a pobresa energètica,,,17000.0,,,681.46
2017.0.0.2311.0.485,2311,485,Emergència social,Ajudes alimentació persones risc d'exclusió social,,,50000.0,,,38900.0
2017.0.0.2311.0.489,2311,489,Emergència social,Aportacions i subvencions,,,20000.0,2050.89,,22050.89
2017.0.0.2312.0.22699,2312,22699,Assistència domiciliaria,Otros gastos diversos,,,1000.0,,,
2017.0.0.2312.0.22799,2312,22799,Assistència domiciliaria,Treb.real.altres empreses,,,18000.0,,,3773.71
2017.0.0.2313.0.12009,2313,12009,Prevenció Drogodependenc.,Otras retribuciones básicas,,,18439.68,184.4,,13494.65
2017.0.0.2313.0.12103,2313,12103,Prevenció Drogodependenc.,Otros complementos,,,18899.4,188.99,,13632.0
2017.0.0.2313.0.16000,2313,16000,Prevenció Drogodependenc.,Seguridad Social,,,11414.31,114.14,,6396.18
2017.0.0.2313.0.22699,2313,22699,Prevenció Drogodependenc.,Despeses diverses,,,5000.0,,,
2017.0.0.2314.0.22699,2314,22699,Entitats no lucratives,Despeses diverses,,,1500.0,,,
2017.0.0.2314.0.489,2314,489,Entitats no lucratives,Aportacions i subvencions,,,5000.0,,,3000.0
2017.0.0.2315.0.22699,2315,22699,Departament d'igualtat,Despeses diverses,,,6500.0,,,1964.71
2017.0.0.2315.0.489,2315,489,Departament d'igualtat,Aportacions i subvencions,,,2000.0,,,500.0
2017.0.0.2316.0.131,2316,131,Centre de dia infància,Laboral temporal,,,31249.72,312.5,,22490.51
2017.0.0.2316.0.16000,2316,16000,Centre de dia infància,Seguridad Social,,,10215.23,102.15,,5546.88
2017.0.0.2316.0.202,2316,202,Centre de dia infància,Arrendament edifici,,,6217.92,,,5181.6
2017.0.0.2316.0.22699,2316,22699,Centre de dia infància,Despeses diverses,,,4000.0,,,3253.47
2017.0.0.2316.0.625,2316,625,Centre de dia infància,Inversió nova en mobiliari,,,3000.0,,,210.0
2017.0.0.2316.0.626,2316,626,Centre de dia infància,Equipos para procesos de información,,,2000.0,,,81.0
2017.0.0.2318.0.12009,2318,12009,Educador de Carrer,Retribucions bàsiques,,,17493.78,174.94,,12741.75
2017.0.0.2318.0.12103,2318,12103,Educador de Carrer,Retribucions complementar,,,18177.32,181.77,,13106.32
2017.0.0.2318.0.13002,2318,13002,Educador de Carrer,Altres retribucions personal laborar fix,,,19816.39,198.16,,13046.09
2017.0.0.2318.0.131,2318,131,Educador de Carrer,Personal Laboral eventual,,,47154.37,471.54,,33158.15
2017.0.0.2318.0.16000,2318,16000,Educador de Carrer,Quotes socials,,,32351.64,323.52,,21500.98
2017.0.0.2318.0.22699,2318,22699,Educador de Carrer,Despeses diverses,,,2000.0,,,370.63
2017.1.0.2318.1611.12009,2318,12009,Educador de Carrer,Altres retribucions bàsiques,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,11563.81,,5450.56
2017.1.0.2318.1611.12103,2318,12103,Educador de Carrer,Altres retribucions complementàries,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,,,2986.05
2017.1.0.2318.1611.16000,2318,16000,Educador de Carrer,Seguretat Social,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,,,2644.88
2017.1.0.2318.1611.22699,2318,22699,Educador de Carrer,Altres despeses diverses,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,245.45,,
2017.0.0.2319.0.12009,2319,12009,Ajuda a la dependència,Retribucions bàsiques,,,,,,10535.14
2017.0.0.2319.0.12103,2319,12103,Ajuda a la dependència,Retribucions complementar,,,,,,8221.07
2017.0.0.2319.0.131,2319,131,Ajuda a la dependència,Personal Laboral eventual,,,26355.23,263.55,,376.48
2017.0.0.2319.0.16000,2319,16000,Ajuda a la dependència,Quotes socials,,,8510.87,85.11,,4725.21
2017.0.0.2410.0.131,2410,131,Escoles Taller,Personal Laboral eventual,,,4653.93,46.54,,3888.22
2017.0.0.2410.0.16000,2410,16000,Escoles Taller,Quotes socials,,,306.77,3.07,,
2017.0.0.2410.0.22699,2410,22699,Escoles Taller,Despeses diverses,,,15000.0,-15000.0,,
2017.0.0.2410.1619.12009,2410,12009,Escoles Taller,Altres retribucions bàsiques,1619,FOTAE/2016/40/46 Taller ocupació,,158335.0,,117053.49
2017.0.0.2410.1619.131,2410,131,Escoles Taller,Laboral temporal,1619,FOTAE/2016/40/46 Taller ocupació,,295628.33,,213230.38
2017.0.0.2410.1619.16000,2410,16000,Escoles Taller,Seguretat Social,1619,FOTAE/2016/40/46 Taller ocupació,,62419.49,,38098.73
2017.0.0.2410.1619.22699,2410,22699,Escoles Taller,Altres despeses diverses,1619,FOTAE/2016/40/46 Taller ocupació,,58176.0,,25124.5
2017.1.0.2410.1619.12009,2410,12009,Escoles Taller,Altres retribucions bàsiques,1619,FOTAE/2016/40/46 Taller ocupació,,12.4,,
2017.1.0.2410.1619.131,2410,131,Escoles Taller,Laboral temporal,1619,FOTAE/2016/40/46 Taller ocupació,,3.88,,
2017.0.0.2411.0.22699,2411,22699,Promoció de l'ocupació,Despeses diverses,,,2613.6,,,653.4
2017.0.0.2411.0.22799,2411,22799,Promoció de l'ocupació,Otros trabajos realizados por otras empresas y profesionales,,,3000.0,,,
2017.0.0.2411.1613.131,2411,131,Promoció de l'ocupació,Laboral temporal,1613,programa EMCORP/2016/439/46,,45659.22,,37044.28
2017.0.0.2411.1613.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1613,programa EMCORP/2016/439/46,,,,8603.46
2017.0.0.2411.1614.131,2411,131,Promoció de l'ocupació,Laboral temporal,1614,ECORJV/2016/425/46,,39103.03,,34159.56
2017.0.0.2411.1614.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1614,ECORJV/2016/425/46,,223.04,,5166.51
2017.0.0.2411.1615.131,2411,131,Promoció de l'ocupació,Laboral temporal,1615,EMCOLD/2016/39/46,,23798.71,,20863.56
2017.0.0.2411.1615.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1615,EMCOLD/2016/39/46,,90.12,,3025.27
2017.0.0.2411.1616.12009,2411,12009,Promoció de l'ocupació,Altres retribucions bàsiques,1616,FME99/2016/23/46 ingles gestión comercial,,,,339.2
2017.0.0.2411.1616.131,2411,131,Promoció de l'ocupació,Laboral temporal,1616,FME99/2016/23/46 ingles gestión comercial,,1412.71,,1144.1
2017.0.0.2411.1616.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1616,FME99/2016/23/46 ingles gestión comercial,,449.49,,185.6
2017.0.0.2411.1616.22699,2411,22699,Promoció de l'ocupació,Altres despeses diverses,1616,FME99/2016/23/46 ingles gestión comercial,,1697.62,,1697.62
2017.0.0.2411.1617.12009,2411,12009,Promoció de l'ocupació,Altres retribucions bàsiques,1617,FME99/2016/22/46 neteja,,,,6848.45
2017.0.0.2411.1617.131,2411,131,Promoció de l'ocupació,Laboral temporal,1617,FME99/2016/22/46 neteja,,6848.45,,
2017.0.0.2411.1617.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1617,FME99/2016/22/46 neteja,,2226.23,,2226.23
2017.0.0.2411.1617.22699,2411,22699,Promoció de l'ocupació,Altres despeses diverses,1617,FME99/2016/22/46 neteja,,3864.8,,3864.8
2017.0.0.2411.1618.131,2411,131,Promoció de l'ocupació,Laboral temporal,1618,EMCORD/2016/19/46,,23042.8,,22168.17
2017.0.0.2411.1618.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1618,EMCORD/2016/19/46,,6796.64,,7054.05
2017.0.0.2411.1704.131,2411,131,Promoció de l'ocupació,Laboral temporal,1704,Garantía juvenil joves qualificatats-EMCUJU/2017/399/46,,67171.02,,27339.2
2017.0.0.2411.1704.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1704,Garantía juvenil joves qualificatats-EMCUJU/2017/399/46,,21192.23,,4744.56
2017.0.0.2411.1705.131,2411,131,Promoció de l'ocupació,Laboral temporal,1705,Garantia juvenil joves no qualificats-EMPUJU/2017/221/46,,146521.5,,59910.72
2017.0.0.2411.1705.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1705,Garantia juvenil joves no qualificats-EMPUJU/2017/221/46,,47985.59,,10527.02
2017.1.0.2411.0623.632,2411,632,Promoció de l'ocupació,Inversió reposició edificios i altres construccions,0623,Escola Taller-centre form,,470.0,,
2017.1.0.2411.1610.609,2411,609,Promoció de l'ocupació,Altres inversions noves en infrastructures i bens destinat al ús general,1610,Tanca protecció [prèstec 2016],,3453.7,,2985.94
2017.1.0.2411.1613.131,2411,131,Promoció de l'ocupació,Laboral temporal,1613,programa EMCORP/2016/439/46,,3151.67,,
2017.1.0.2411.1613.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1613,programa EMCORP/2016/439/46,,,,3151.67
2017.1.0.2411.1614.131,2411,131,Promoció de l'ocupació,Laboral temporal,1614,ECORJV/2016/425/46,,4380.54,,
2017.1.0.2411.1614.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1614,ECORJV/2016/425/46,,,,4380.54
2017.1.0.2411.1615.131,2411,131,Promoció de l'ocupació,Laboral temporal,1615,EMCOLD/2016/39/46,,2807.45,,
2017.1.0.2411.1615.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1615,EMCOLD/2016/39/46,,,,2807.45
2017.1.0.2411.1616.22799,2411,22799,Promoció de l'ocupació,Altres treballs realitzats per altres empreses i professionals,1616,FME99/2016/23/46 ingles gestión comercial,,6075.0,,6075.0
2017.1.0.2411.1617.131,2411,131,Promoció de l'ocupació,Laboral temporal,1617,FME99/2016/22/46 neteja,,0.01,,
2017.1.0.2411.1618.131,2411,131,Promoció de l'ocupació,Laboral temporal,1618,EMCORD/2016/19/46,,0.03,,
2017.0.0.2412.0.131,2412,131,Bossa d'ocupació,Personal Laboral eventual,,,165000.0,-8104.61,,110348.45
2017.0.0.2412.0.16000,2412,16000,Bossa d'ocupació,Quotes socials,,,54450.0,544.5,,30724.01
2017.0.0.2412.1702.131,2412,131,Bossa d'ocupació,Laboral temporal,1702,Plan de empleo 2016 [Subvenció Diputació],,24067.74,,24067.74
2017.0.0.2412.1702.16000,2412,16000,Bossa d'ocupació,Seguretat Social,1702,Plan de empleo 2016 [Subvenció Diputació],,7882.26,,7857.83
2017.0.0.3110.0.22100,3110,22100,Medicaments i prod sanita,Subministres,,,1000.0,-1000.0,,
2017.0.0.3111.0.22799,3111,22799,Salut Pública,Treb.real.altres empreses,,,52500.0,40649.31,,32014.55
2017.0.0.3111.0.632,3111,632,Salut Pública,Edificis i altres contruccions. Salut pública,,,,58200.0,,
2017.0.0.3112.0.22799,3112,22799,Desinfeccio i Desratitza.,Treb.real.altres empreses,,,24000.0,,,14755.35
2017.0.0.3113.0.13002,3113,13002,Ciutats sanes,Personal laboral fix,,,15666.37,541.85,,9987.42
2017.0.0.3113.0.16000,3113,16000,Ciutats sanes,Quotes socials,,,4787.3,47.87,,3040.82
2017.0.0.3113.0.22699,3113,22699,Ciutats sanes,Despeses diverses,,,2000.0,1000.0,,1751.78
2017.0.0.3121.0.12009,3121,12009,Servei Mèdic,Retribucions bàsiques,,,20169.5,201.7,,14760.97
2017.0.0.3121.0.12103,3121,12103,Servei Mèdic,Retribucions complementar,,,30460.32,304.6,,21970.75
2017.0.0.3121.0.16000,3121,16000,Servei Mèdic,Quotes socials,,,15466.97,154.67,,7757.14
2017.0.0.3200.0.22699,3200,22699,Ponència d'educació,Despeses diverses,,,11800.0,,,5186.39
2017.0.0.3200.0.489,3200,489,Ponència d'educació,Aportacions i subvencions,,,3200.0,,,
2017.0.0.3231.0.12009,3231,12009,Centres educatius,Retribucions bàsiques,,,64198.81,4940.09,,46245.62
2017.0.0.3231.0.12103,3231,12103,Centres educatius,Retribucions complementar,,,65143.44,651.43,,50579.51
2017.0.0.3231.0.131,3231,131,Centres educatius,Laboral temporal,,,315.02,-15.52,,
2017.0.0.3231.0.16000,3231,16000,Centres educatius,Quotes socials,,,39414.67,394.15,,21338.39
2017.0.0.3231.0.212,3231,212,Centres educatius,Rep.mment.i cons.edificis,,,17012.0,51512.11,,52794.66
2017.0.0.3231.0.22100,3231,22100,Centres educatius,Subministres,,,110406.0,,,48258.05
2017.1.0.3231.1606.632,3231,632,Centres educatius,Inversió reposició edificios i altres construccions,1606,Adequació col.legi [prèstec 2016],,4513.53,,
2017.0.0.3250.0.131,3250,131,Monitor despertador,Laboral temporal,,,3067.47,30.67,,1729.73
2017.0.0.3250.0.16000,3250,16000,Monitor despertador,Seguridad Social,,,1012.27,10.12,,
2017.0.0.3261.0.13002,3261,13002,Centre de formació de persones adultes,Personal laboral fix,,,44241.89,442.42,,26573.38
2017.0.0.3261.0.131,3261,131,Centre de formació de persones adultes,Personal Laboral eventual,,,11769.16,2957.49,,11454.95
2017.0.0.3261.0.16000,3261,16000,Centre de formació de persones adultes,Quotes socials,,,17291.24,907.67,,10989.55
2017.0.0.3261.0.22699,3261,22699,Centre de formació de persones adultes,Despeses diverses,,,2000.0,,,2807.38
2017.0.0.3261.0.22799,3261,22799,Centre de formació de persones adultes,Treb.real.altres empreses,,,12000.0,1340.0,,5155.0
2017.0.0.3261.0.626,3261,626,Centre de formació de persones adultes,Equipos para procesos de información,,,3000.0,-3000.0,,
2017.0.0.3262.0.481,3262,481,Programa suport a l'educació,Premis i Beques,,,2000.0,102000.0,,36975.07
2017.0.0.3262.1701.481,3262,481,Programa suport a l'educació,Premis i Beques,1701,"Pactiques formatives modalitat Post-Transparencia, participació i bon govern",,3900.0,,900.0
2017.0.0.3263.0.482,3263,482,Programa d'inclusió social i educativa,Suport a la compensació social educativa,,,12000.0,16000.0,,2603.7
2017.0.0.3264.0.12009,3264,12009,Gabinet psicopedagògic,Retribucions bàsiques,,,33730.06,337.3,,24738.68
2017.0.0.3264.0.12103,3264,12103,Gabinet psicopedagògic,Retribucions complementar,,,37798.79,377.99,,27587.99
2017.0.0.3264.0.16000,3264,16000,Gabinet psicopedagògic,Quotes socials,,,21846.3,218.46,,13736.7
2017.0.0.3265.0.410,3265,410,OOAA Conservatori Música,OOAA Conservatori Música,,,219577.24,6768.66,,164682.93
2017.0.0.3265.0.710,3265,710,OOAA Conservatori Música,A OOAA Conservatori Music,,,3000.0,3122.02,,
2017.1.0.3265.0240.780,3265,780,OOAA Conservatori Música,A instit. sense fi lucre,0240,Remodelación Casa Cultura,,6.01,,
2017.0.0.3300.0.12009,3300,12009,Animador Cultural,Retribucions bàsiques,,,19592.89,195.93,,14338.86
2017.0.0.3300.0.12103,3300,12103,Animador Cultural,Retribucions complementar,,,18899.4,188.99,,13632.0
2017.0.0.3300.0.16000,3300,16000,Animador Cultural,Quotes socials,,,11767.78,117.68,,8020.64
2017.0.0.3321.0.12009,3321,12009,Biblioteques públiques,Retribucions bàsiques,,,50547.03,7099.42,,36424.99
2017.0.0.3321.0.12103,3321,12103,Biblioteques públiques,Retribucions complementar,,,47871.41,478.71,,38700.89
2017.0.0.3321.0.16000,3321,16000,Biblioteques públiques,Quotes socials,,,30078.11,300.78,,15762.72
2017.0.0.3321.0.22699,3321,22699,Biblioteques públiques,Despeses diverses,,,2500.0,,,2346.68
