#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
,1720,227,Protec. millora medi ambi,Treb.real.altres empreses,,,10000,0,10000,10538.22
,2111,127,Segur. prot i prom. soc,Contribucions pla pension,,,22687,-6518.52,16168.48,16168.48
,2210,162,Personal actiu,Despeses socials,,,10000,500,10500,60
,2210,163,Personal actiu,Despes. soc.-Prev riscos,,,12000,0,12000,10166.89
,2210,226,Personal actiu,Despeses diverses,,,1000,-200,800,792.47
,2210,227,Personal actiu,Treb.real.altres empreses,,,0,0,0,0
,2210,858,Personal actiu,Avançaments,,,1,5295.12,5296.12,5295.12
,2211,161,Segur. protec. i prom.soc,Prestacions socials,,,7000,0,7000,5310.35
,2211,162,Segur. protec. i prom.soc,Despeses socials,,,7000,0,7000,6106.11
,2300,120,Assitència Social,Retribucions bàsiques,,,62815.9,-2286.13,60529.77,43536.78
,2300,121,Assitència Social,Retribucions complementar,,,70363.86,0,70363.86,48482.28
,2300,130,Assitència Social,Personal laboral fix,,,0,7285.32,7285.32,52085.69
,2300,131,Assitència Social,Personal Laboral eventual,,,22235.98,459.43,22695.41,15050.92
,2300,160,Assitència Social,Quotes socials,,,45265.47,11175.55,56441.02,58159.71
,2300,226,Assitència Social,Despeses diverses,,,3000,0,3000,420
,2311,480,Acció Social,Ajudes indiv i atenc bene,,,70000,0,70000,53567.99
,2311,489,Acció Social,Aportacions i subvencions,,,6000,20000,26000,2600
,2312,227,Serveis soc. i prom.socia,Treb.real.altres empreses,,,10000,0,10000,9185.66
,2312,489,Serveis soc. i prom.socia,Aportacions i subvencions,,,15000,0,15000,0
,2313,226,Entitats no lucratives,Despeses diverses,,,600,-120,480,0
,2313,489,Entitats no lucratives,Aportacions i subvencions,,,4000,0,4000,0
,2317,480,Menjador social,Ajudes indiv i atenc bene,,,0,3600,3600,3000
,2320,226,Departament de la Dona,Despeses diverses,,,8000,-3071.56,4928.44,2033.46
,2320,227,Departament de la Dona,Treb.real.altres empreses,,,10000,0,10000,10144.79
,2321,202,Centre dia per a menors,Arrendament edifici,,,12300,0,12300,12436.56
,2321,226,Centre dia per a menors,Despeses diverses,,,7000,-2400,4600,1601.53
,2322,120,Educador de Carrer,Retribucions bàsiques,,,17299.8,-1493.32,15806.48,16182.1
,2322,121,Educador de Carrer,Retribucions complementar,,,18081.28,0,18081.28,17705.66
,2322,130,Educador de Carrer,Personal laboral fix,,,18540.62,-540.24,18000.38,16362.72
,2322,131,Educador de Carrer,Personal Laboral eventual,,,66498.05,-3737.08,62760.97,50674.17
,2322,160,Educador de Carrer,Quotes socials,,,35072.74,1172.27,36245.01,40690.3
,2322,226,Educador de Carrer,Despeses diverses,,,4000,0,4000,1036.61
,2323,226,Prevenció Drogodependenc.,Despeses diverses,,,6000,-1200,4800,875.92
,2324,226,Pau i Solidaritat:Immigra,Despeses diverses,,,15000,0,15000,6907.35
,2325,489,Pau i Solidaritat: ONG,Aportacions i subvencions,,,18900,0,18900,0
,2325,789,Pau i Solidaritat: ONG,Aportacions i subvencions,,,0,0,0,0
,2330,227,Asistència domiciliaria,Treb.real.altres empreses,,,20000,-2506.23,17493.77,13815.15
,2331,120,Ajuda a la dependència,Retribucions bàsiques,,,0,0,0,20044.37
,2331,121,Ajuda a la dependència,Retribucions complementar,,,0,0,0,16837.24
,2331,131,Ajuda a la dependència,Personal Laboral eventual,,,38470.95,-1572.09,36898.86,0
,2331,160,Ajuda a la dependència,Quotes socials,,,11204.82,2970.06,14174.88,13796.26
,2410,120,Escoles Taller,Retribucions bàsiques,,,0,1299.27,1299.27,1299.27
,2410,160,Escoles Taller,Quotes socials,,,0,411.67,411.67,411.67
,2410,226,Escoles Taller,Despeses diverses,,,3000,-1000,2000,314.01
,2411,120,Promoció de l'ocupació,Retribucions bàsiques,,,0,7505.25,7505.25,35559.08
,2411,121,Promoció de l'ocupació,Retribucions complementar,,,0,0,0,19393.93
,2411,131,Promoció de l'ocupació,Personal Laboral eventual,,,135848.15,35694.72,171542.87,64000.53
,2411,160,Promoció de l'ocupació,Quotes socials,,,40049.09,29065.08,69114.17,52842.06
,2411,226,Promoció de l'ocupació,Despeses diverses,,,3000,31637.75,34637.75,19652.81
,2411,131,Promoció de l'ocupació,Personal Laboral eventual,,,0,29533.55,29533.55,26174.25
,2411,226,Promoció de l'ocupació,Despeses diverses,,,0,8741.19,8741.19,3885.2
,2411,632,Promoció de l'ocupació,Inv. repos.Edificis i con,623,Escola Taller-centre form,0,11220,11220,10750
,2412,120,Bossa d'ocupació,Retribucions bàsiques,,,0,0,0,0
,2412,121,Bossa d'ocupació,Retribucions complementar,,,0,0,0,0
,2412,131,Bossa d'ocupació,Personal Laboral eventual,,,150000,-144467.7,5532.3,5393.62
,2412,160,Bossa d'ocupació,Quotes socials,,,43688.11,-39340.24,4347.87,2397.63
,2415,489,Insercio laboral dones,Aportacions i subvencions,,,0,21130.88,21130.88,0
,3130,221,Medicaments i prod sanita,Subministres,,,1500,-300,1200,385
,3130,226,Medicaments i prod sanita,Despeses diverses,,,8500,0,8500,8799.73
,3130,480,Medicaments i prod sanita,Ajudes indiv i atenc bene,,,60000,-12362.82,47637.18,47637.18
,3131,227,Salut Pública,Treb.real.altres empreses,,,9000,8421.84,17421.84,15849.84
,3132,227,Desinfeccio i Desratitza.,Treb.real.altres empreses,,,15000,-8268.1,6731.9,6731.9
,3133,130,Ciutats sanes,Personal laboral fix,,,18818.12,-2472.7,16345.42,17105.11
,3133,131,Ciutats sanes,Personal Laboral eventual,,,0,2861.08,2861.08,0
,3133,160,Ciutats sanes,Quotes socials,,,5480.85,0,5480.85,6279.83
,3133,226,Ciutats sanes,Despeses diverses,,,3000,-600,2400,2262.11
,3134,120,Servei Mèdic,Retribucions bàsiques,,,39392.5,-4956.94,34435.56,33100.95
,3134,121,Servei Mèdic,Retribucions complementar,,,49160.72,0,49160.72,50495.33
,3134,160,Servei Mèdic,Quotes socials,,,25791.48,0,25791.48,23709.48
,3200,226,Ponència d'educació,Despeses diverses,,,18000,-10444.9,7555.1,7555.1
,3210,227,Ensenyament Preescolar,Treb.real.altres empreses,,,10000,2240,12240,9279.9
,3210,482,Ensenyament Preescolar,Guarderia xiquets 0-3 any,,,10000,-10000,0,0
,3210,622,Ensenyament Preescolar,In. nova Edificis i const,,,0,0,0,0
,3210,622,Ensenyament Preescolar,In. nova Edificis i const,1030,Escoleta Municipal (ZP2),0,570126.13,570126.13,533201.43
,3211,120,Ensenyament Primari,Retribucions bàsiques,,,47202.4,-3586.28,43616.12,41743.68
,3211,121,Ensenyament Primari,Retribucions complementar,,,48390.72,0,48390.72,48987.35
,3211,160,Ensenyament Primari,Quotes socials,,,27841.88,3080.24,30922.12,32182.84
,3211,203,Ensenyament Primari,Arrendament maquinaria,,,41800,0,41800,37924.77
,3211,205,Ensenyament Primari,Arrendamient mobiliari,,,10500,685.37,11185.37,5122.77
,3211,212,Ensenyament Primari,Rep.mment.i cons.edificis,,,6000,12765.46,18765.46,15990.06
,3211,221,Ensenyament Primari,Subministres,,,35000,19175.82,54175.82,60820.5
,3211,226,Ensenyament Primari,Despeses diverses,,,0,0,0,832.07
,3211,632,Ensenyament Primari,Inv. repos.Edificis i con,,,0,0,0,0
,3211,611,Ensenyament Primari,Inversio reposicio infrae,1012,SOLERA PREFAB. DESEMPARAT,0,0,0,0
,3230,130,Escola Permanent d'Adults,Personal laboral fix,,,47688.85,0,47688.85,42392.56
,3230,131,Escola Permanent d'Adults,Personal Laboral eventual,,,15801.29,-71.37,15729.92,17619.11
,3230,160,Escola Permanent d'Adults,Quotes socials,,,18491.76,1168.05,19659.81,22835.13
,3230,203,Escola Permanent d'Adults,Arrendament maquinaria,,,2000,-900,1100,823.35
,3230,226,Escola Permanent d'Adults,Despeses diverses,,,2500,0,2500,1994.05
,3230,227,Escola Permanent d'Adults,Treb.real.altres empreses,,,32000,-312.23,31687.77,25377.84
,3240,481,Beques estudis,Premis i Beques,,,106500,24000,130500,73361.14
,3241,481,Beques Menjador,Premis i Beques,,,40000,-10000,30000,20786
,3242,120,Gabinet psicopedagògic,Retribucions bàsiques,,,58776.2,-7256.6,51519.6,68546.08
,3242,121,Gabinet psicopedagògic,Retribucions complementar,,,56717.22,0,56717.22,73565.52
,3242,131,Gabinet psicopedagògic,Personal Laboral eventual,,,35792.26,-7952.24,27840.02,0
,3242,160,Gabinet psicopedagògic,Quotes socials,,,44062.57,9382.16,53444.73,47358.69
,3243,410,OOAA Conservatori Música,OOAA Conservatori Música,,,296672.37,0,296672.37,296672.37
,3243,710,OOAA Conservatori Música,A OOAA Conservatori Music,,,0,0,0,0
,3243,780,OOAA Conservatori Música,A instit. sense fi lucre,,,0,6.01,6.01,0
,3300,120,Animador Cultural,Retribucions bàsiques,,,40393.64,-4841.2,35552.44,32403.47
,3300,121,Animador Cultural,Retribucions complementar,,,42458.36,0,42458.36,45607.35
,3300,160,Animador Cultural,Quotes socials,,,24130.98,2600,26730.98,26659.83
,3320,120,Biblioteques i Arxius,Retribucions bàsiques,,,54215.98,-28566.86,25649.12,42007.25
,3320,121,Biblioteques i Arxius,Retribucions complementar,,,58539.32,-6742.02,51797.3,41542.62
,3320,130,Biblioteques i Arxius,Personal laboral fix,,,0,0,0,0
,3320,131,Biblioteques i Arxius,Personal Laboral eventual,,,0,0,0,0
,3320,160,Biblioteques i Arxius,Quotes socials,,,32840.44,2100,34940.44,28727.52
,3320,212,Biblioteques i Arxius,Rep.mment.i cons.edificis,,,1000,0,1000,1410.91
,3320,226,Biblioteques i Arxius,Despeses diverses,,,5000,-2206,2794,1314.7
,3320,227,Biblioteques i Arxius,Treb.real.altres empreses,,,6,0,6,0
,3321,627,Biblioteques,Inv. nova Projec. compex,,,0,3474.82,3474.82,3474.82
,3321,627,Biblioteques,Inv. nova Projec. compex,1013,"LLIBRES, CD'S I DVD'S",0,0,0,0
,3322,202,Arxius,Arrendament edifici,,,21317,0,21317,20850.36
,3340,226,Ponència de Cultura,Despeses diverses,,,25000,-5000,20000,19707.3
,3340,481,Ponència de Cultura,Premis i Beques,,,2000,-2000,0,0
,3340,489,Ponència de Cultura,Aportacions i subvencions,,,40000,2700,42700,0
,3340,780,Ponència de Cultura,A instit. sense fi lucre,,,0,50,50,0
,3341,120,Casa de la Cultura,Retribucions bàsiques,,,19324.76,-732.18,18592.58,19154.32
,3341,121,Casa de la Cultura,Retribucions complementar,,,21949.34,0,21949.34,21400.82
,3341,160,Casa de la Cultura,Quotes socials,,,12021.25,2246.75,14268,13977.02
,3341,632,Casa de la Cultura,Inv. repos.Edificis i con,626,Condic. centre cultural,0,1944.45,1944.45,0
,3342,226,Setmana lletres valencian,Despeses diverses,,,4000,-3444.04,555.96,555.96
,3343,226,Campanya animació lectura,Despeses diverses,,,1500,-300,1200,1016.64
,3344,226,Projectes cultur. Europeu,Despeses diverses,,,1000,88886.95,89886.95,37026.3
,3344,227,Projectes cultur. Europeu,Treb.real.altres empreses,,,0,7650,7650,7650
,3344,481,Projectes cultur. Europeu,Premis i Beques,,,0,45655.15,45655.15,24173.7
,3344,226,Projectes cultur. Europeu,Despeses diverses,,,0,12194.18,12194.18,17511.76
,3344,227,Projectes cultur. Europeu,Treb.real.altres empreses,,,0,6200,6200,0
,3345,489,Bandes de Música,Aportacions i subvencions,,,37500,-7500,30000,30000
,3346,226,Cronista,Despeses diverses,,,4500,-4500,0,0
,3347,120,Pomoció d'Ús Valencià,Retribucions bàsiques,,,18759.3,-1607.38,17151.92,17213.93
,3347,121,Pomoció d'Ús Valencià,Retribucions complementar,,,17102.4,0,17102.4,16672.88
,3347,160,Pomoció d'Ús Valencià,Quotes socials,,,10444.87,0,10444.87,10279.36
,3347,220,Pomoció d'Ús Valencià,Material oficina,,,1500,0,1500,693.38
,3347,226,Pomoció d'Ús Valencià,Despeses diverses,,,4700,-2873.4,1826.6,1826.6
,3347,489,Pomoció d'Ús Valencià,Aportacions i subvencions,,,1000,-1000,0,0
,3350,130,Escola de Teatre,Personal laboral fix,,,15682.32,-10256,5426.32,6811.1
,3350,160,Escola de Teatre,Quotes socials,,,4567.54,1813.38,6380.92,3191.52
,3350,226,Escola de Teatre,Despeses diverses,,,6000,9831.48,15831.48,12445.76
,3351,226,Representacions teatrals,Despeses diverses,,,35000,-24783.1,10216.9,10216.9
,3360,627,Arque.y protec.Patr.H-A,Inv. nova Projec. compex,,,0,107498,107498,0
,3370,120,Ponència de Joventut,Retribucions bàsiques,,,35625.24,-1716.84,33908.4,38480.74
,3370,121,Ponència de Joventut,Retribucions complementar,,,41710.48,1258.92,42969.4,42409.01
,3370,131,Ponència de Joventut,Personal Laboral eventual,,,51061.29,-15689.18,35372.11,31613.76
,3370,160,Ponència de Joventut,Quotes socials,,,37396.15,2200,39596.15,39232.89
,3370,467,Ponència de Joventut,A Consorcis,,,6000,0,6000,0
,3370,489,Ponència de Joventut,Aportacions i subvencions,,,6000,-6000,0,0
,3371,226,Centre informacio juvenil,Despeses diverses,,,35000,3428.35,38428.35,11866.33
,3371,625,Centre informacio juvenil,Inv. nova Mobiliari,1014,MOBLIARIA CENTRE INF JUV,0,0,0,0
,3372,625,Nau jove,Inv. nova Mobiliari,1015,MOBILIARI NAU JOVE,0,0,0,0
,3373,622,Locals civic socials,In. nova Edificis i const,,,0,97873.22,97873.22,97873.21
,3379,120,Centre Tercera edat,Retribucions bàsiques,,,9604.56,-257.52,9347.04,2274.59
,3379,121,Centre Tercera edat,Retribucions complementar,,,9545.76,-7344.33,2201.43,900.13
,3379,130,Centre Tercera edat,Personal laboral fix,,,0,-6070.86,-6070.86,2818.98
,3379,131,Centre Tercera edat,Personal Laboral eventual,,,0,0,0,0
,3379,160,Centre Tercera edat,Quotes socials,,,5577.61,-1953.47,3624.14,3108.05
,3379,212,Centre Tercera edat,Rep.mment.i cons.edificis,,,1500,0,1500,2598.35
,3379,221,Centre Tercera edat,Subministres,,,10000,-2550.75,7449.25,7058.83
,3379,226,Centre Tercera edat,Despeses diverses,,,2000,-428.1,1571.9,845.8
,3380,226,Festes Populars,Despeses diverses,,,155000,-39466.54,115533.46,112112.8
,3380,489,Festes Populars,Aportacions i subvencions,,,18000,-13000,5000,5000
,3381,226,Junta Local Fallera,Despeses diverses,,,18000,-5242.61,12757.39,12757.39
,3382,489,Comissions Falleres,Aportacions i subvencions,,,18000,-16800,1200,1200
,3410,226,Ponència d'Esports,Despeses diverses,,,10000,27370.65,37370.65,37370.65
,3410,467,Ponència d'Esports,A Consorcis,,,3000,0,3000,4400
,3410,481,Ponència d'Esports,Premis i Beques,,,2000,0,2000,0
,3410,489,Ponència d'Esports,Aportacions i subvencions,,,175000,-76650,98350,98350
,3420,130,Piscina d'Estiu,Personal laboral fix,,,59828.44,20338.57,80167.01,72195.95
,3420,131,Piscina d'Estiu,Personal Laboral eventual,,,0,14683.44,14683.44,14683.44
,3420,160,Piscina d'Estiu,Quotes socials,,,17425.28,9633.11,27058.39,32702.43
,3420,213,Piscina d'Estiu,Rep.mment i cons.Maquinar,,,22000,-22000,0,0
,3420,227,Piscina d'Estiu,Treb.real.altres empreses,,,42000,-42000,0,0
,3420,632,Piscina d'Estiu,Inv. repos.Edificis i con,1016,CONDIC. PISCINA MUNICIPAL,0,0,0,0
,3421,120,Poliesportiu Municipal,Retribucions bàsiques,,,47506.2,-1731.72,45774.48,47115.56
,3421,121,Poliesportiu Municipal,Retribucions complementar,,,78555.12,0,78555.12,77017.78
,3421,131,Poliesportiu Municipal,Personal Laboral eventual,,,0,0,0,0
,3421,160,Poliesportiu Municipal,Quotes socials,,,36715.87,5983.68,42699.55,42895.81
,3421,212,Poliesportiu Municipal,Rep.mment.i cons.edificis,,,12000,0,12000,7661.97
,3421,213,Poliesportiu Municipal,Rep.mment i cons.Maquinar,,,20000,-5870.36,14129.64,2247.55
,3421,221,Poliesportiu Municipal,Subministres,,,40000,57613.23,97613.23,113814.94
,3421,632,Poliesportiu Municipal,Inv. repos.Edificis i con,,,0,0,0,0
,3421,601,Poliesportiu Municipal,Inversió nova en infraest,1017,CAMP DEL PORT,0,0,0,0
,3421,622,Poliesportiu Municipal,In. nova Edificis i const,1018,DOT. ESPORTIV. MUNICIPALS,0,0,0,0
,3421,623,Poliesportiu Municipal,Inv. nova maquinar. intst,1019,MAQUINARIA I INST. POLIES,0,0,0,0
,3421,622,Poliesportiu Municipal,In. nova Edificis i const,611,Dot. esport. municipals,0,53909.35,53909.35,12349.22
,3421,601,Poliesportiu Municipal,Inversió nova en infraest,1017,CAMP DEL PORT,0,0,0,0
,3421,632,Poliesportiu Municipal,Inv. repos.Edificis i con,1031,Rehabil. pista multi(ZP2),0,5636.78,5636.78,5342.38
,3422,213,Piscines municipals,Rep.mment i cons.Maquinar,,,0,0,0,10856.84
,3422,226,Piscines municipals,Despeses diverses,,,190000,200923.57,390923.57,289565.42
,3422,227,Piscines municipals,Treb.real.altres empreses,,,0,0,0,73483.6
,3422,600,Piscines municipals,Inversions en terrenys,501,Honoraris i urb.Piscina,0,169172.76,169172.76,0
,4100,120,Consell Local Agrari,Retribucions bàsiques,,,45685.5,-1876.7,43808.8,43008.26
,4100,121,Consell Local Agrari,Retribucions complementar,,,61691.14,-4642.96,57048.18,59002.86
,4100,131,Consell Local Agrari,Personal Laboral eventual,,,0,0,0,0
,4100,160,Consell Local Agrari,Quotes socials,,,31273.88,5313.71,36587.59,35340.93
,4100,204,Consell Local Agrari,Arrendament vehicles,,,9800,1024.58,10824.58,9954.87
,4100,226,Consell Local Agrari,Despeses diverses,,,10000,-1983.14,8016.86,8831.05
