#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2016.0.0.1510.0.16000,1510,16000,Urbanisme,Quotes socials,,,92670.75,,92670.75,41900.41
2016.1.0.1510.0.21200,1510,21200,Urbanisme,Otros gastos diversos,,,,59517.96,59517.96,58094.75
2016.0.0.1510.0.22699,1510,22699,Urbanisme,Despeses diverses,,,,10823.54,10823.54,8173.34
2016.0.0.1510.0.22799,1510,22799,Urbanisme,Treb.real.altres empreses,,,,,,2650.2
2016.0.0.1510.0.626,1510,626,Urbanisme,Inv. nova Equips informat,,,7358.34,25480.56,32838.9,25480.56
2016.0.0.1510.1003.626,1510,626,Urbanisme,Equipos para procesos de información,1003,CONVENI CARTOGRAFIA,,7054.28,7054.28,7054.28
2016.0.0.1510.0.627,1510,627,Urbanisme,Proyectos complejos,,,130080.0,50204.04,180284.04,
2016.0.0.1531.0.12009,1531,12009,Obres,Retribucions bàsiques,,,76719.58,-62152.85,14566.73,14787.63
2016.0.0.1531.0.12103,1531,12103,Obres,Retribucions complementar,,,102202.02,,102202.02,27864.41
2016.0.0.1531.0.13002,1531,13002,Obres,Personal laboral fix,,,,,,14435.7
2016.0.0.1531.0.131,1531,131,Obres,Personal Laboral eventual,,,20153.96,,20153.96,14398.36
2016.0.0.1531.0.16000,1531,16000,Obres,Quotes socials,,,62116.51,,62116.51,15513.94
2016.0.0.1531.0.22100,1531,22100,Obres,Subministres,,,11574.08,,11574.08,7960.2
2016.0.0.1531.0.22104,1531,22104,Obres,Vestuario,,,,1396.36,1396.36,1241.11
2016.1.0.1531.1532.619,1531,619,Obres,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1532,Conveni Diputació connectivitat Rotondes Accés Polígons des de V-30 a AP-7,,798043.48,798043.48,775072.27
2016.0.0.1531.1607.624,1531,624,Obres,Elementos de transporte,1607,Vehicles Oficina Tècnica [prèstec 2016],,40000.0,40000.0,
2016.0.0.1532.0.12009,1532,12009,vies públiques,Retribucions bàsiques,,,10173.5,,10173.5,
2016.0.0.1532.0.12103,1532,12103,vies públiques,Retribucions complementar,,,10933.36,,10933.36,
2016.0.0.1532.0.13002,1532,13002,vies públiques,Personal laboral fix,,,,,,14957.58
2016.0.0.1532.0.16000,1532,16000,vies públiques,Quotes socials,,,6543.13,,6543.13,932.75
2016.0.0.1532.0.210,1532,210,vies públiques,Rep mment.conser.Infrastr,,,1000.0,2593.1,3593.1,1591.33
2016.1.0.1532.0.210,1532,210,vies públiques,Infraestructuras y bienes naturales,,,,2143.15,2143.15,
2016.0.0.1532.0.213,1532,213,vies públiques,Rep.mment i cons.Maquinar,,,38276.07,26982.91,65258.98,64089.69
2016.0.0.1532.0.214,1532,214,vies públiques,Rep.mment i cons. vehicle,,,,5667.9,5667.9,5646.66
2016.0.0.1532.0.22799,1532,22799,vies públiques,Otros trabajos realizados por otras empresas y profesionales,,,4356.0,,4356.0,4356.0
2016.0.0.1532.0.609,1532,609,vies públiques,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,,,12080.86,,12080.86,12080.86
2016.1.0.1532.005.609,1532,609,vies públiques,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,005,Urbanit. Espioca [pluvial,,25519.68,25519.68,
2016.1.0.1532.0238.609,1532,609,vies públiques,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,0238,Molí Magallo,,93156.88,93156.88,
2016.1.0.1532.0415.609,1532,609,vies públiques,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,0415,Urbanitzacio Pla Bega,,125179.12,125179.12,
2016.1.0.1532.0630.609,1532,609,vies públiques,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,0630,U.E. Maset,,2782.36,2782.36,
2016.1.0.1532.1504.609,1532,609,vies públiques,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,1504,ADQUIS. MOBILIARI URBÀ [PAMU 2015],,1191.62,1191.62,1191.61
2016.1.0.1532.0006.619,1532,619,vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,0006,Urb. Av. Xuquer [pluvials,,24582.75,24582.75,
2016.1.0.1532.1005.619,1532,619,vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1005,MOBILIARI URBA I SENYALS,,7566.52,7566.52,
2016.1.0.1532.1520.619,1532,619,vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1520,Remodelació plaça del Poble [Diputació IFS 2015],,147340.0,147340.0,21114.09
2016.1.0.1532.1526.619,1532,619,vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1526,Remodelació carrer Sant Rafael i accessos Parc Estació [Diputació IFS 2015],,150000.0,150000.0,150000.0
2016.1.0.1532.0917.623,1532,623,vies públiques,"Maquinaria, instalaciones técnicas y utillaje",0917,ADQUISICIO MATERIAL OBRES,,288.92,288.92,
2016.1.0.1532.0.770,1532,770,vies públiques,A Empresses Pivades,,,,11680.91,11680.91,
2016.0.0.1610.0.12009,1610,12009,Servei d'Aigua Potable,Retribucions bàsiques,,,20804.82,,20804.82,14300.45
2016.0.0.1610.0.12103,1610,12103,Servei d'Aigua Potable,Retribucions complementar,,,26313.12,,26313.12,18646.51
2016.0.0.1610.0.16000,1610,16000,Servei d'Aigua Potable,Quotes socials,,,14606.56,,14606.56,9715.68
2016.0.0.1610.0.22799,1610,22799,Servei d'Aigua Potable,Otros trabajos realizados por otras empresas y profesionales,,,,20000.0,20000.0,
2016.1.0.1611.1524.619,1611,619,Pluvials,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1524,Automatització comporta pluvial Rambleta [Diputació IFS 2015],,3620.32,3620.32,3620.32
2016.0.0.1621.0.22799,1621,22799,Recogida de residuos,Treb.real.altres empreses,,,415837.79,,415837.79,185469.99
2016.0.0.1630.0.22799,1630,22799,Neteja viaria,Otros trabajos realizados por otras empresas y profesionales,,,381811.8,,381811.8,367307.76
2016.0.0.1640.0.12009,1640,12009,Cementeri Municipal,Retribucions bàsiques,,,18694.38,,18694.38,14105.86
2016.0.0.1640.0.12103,1640,12103,Cementeri Municipal,Retribucions complementar,,,23910.52,4830.11,28740.63,18507.07
2016.0.0.1640.0.16000,1640,16000,Cementeri Municipal,Quotes socials,,,13207.52,,13207.52,8453.97
2016.0.0.1640.0.212,1640,212,Cementeri Municipal,Rep.mment.i cons.edificis,,,3070.01,3690.26,6760.27,6575.27
2016.0.0.1640.0.22100,1640,22100,Cementeri Municipal,Subministres,,,2443.0,100.0,2543.0,2148.91
2016.0.0.1640.0.609,1640,609,Cementeri Municipal,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,,,52404.46,-4290.56,48113.9,44229.97
2016.1.0.1640.0708.619,1640,619,Cementeri Municipal,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,0708,Inversions Cementeri,,7835.91,7835.91,
2016.0.0.1650.0.12009,1650,12009,Enllumenat Públic,Retribucions bàsiques,,,38750.76,-8741.12,30009.64,20368.52
2016.0.0.1650.0.12103,1650,12103,Enllumenat Públic,Retribucions complementar,,,59586.18,,59586.18,32459.22
2016.0.0.1650.0.16000,1650,16000,Enllumenat Públic,Quotes socials,,,30484.45,,30484.45,12173.71
2016.0.0.1650.0.210,1650,210,Enllumenat Públic,Rep mment.conser.Infrastr,,,8631.94,-2798.53,5833.41,5831.94
2016.0.0.1650.0.22100,1650,22100,Enllumenat Públic,Subministres,,,212987.32,1674.19,214661.51,152353.82
2016.1.0.1650.1506.619,1650,619,Enllumenat Públic,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1506,CONVENI SUBSTITUCIO LLUMS ENLLUMENAT PUBLIC TECNOLOGIA LED,,200000.0,200000.0,
2016.0.0.1700.0.12009,1700,12009,Medi ambient,Retribucions bàsiques,,,19955.3,,19955.3,14130.0
2016.0.0.1700.0.12103,1700,12103,Medi ambient,Retribucions complementar,,,25416.06,,25416.06,18154.3
2016.0.0.1700.0.16000,1700,16000,Medi ambient,Quotes socials,,,14065.12,,14065.12,7531.68
2016.0.0.1710.0.12009,1710,12009,Parcs i Jardins,Retribucions bàsiques,,,28868.74,-9592.67,19276.07,13321.44
2016.0.0.1710.0.12103,1710,12103,Parcs i Jardins,Retribucions complementar,,,35370.85,,35370.85,14402.03
2016.0.0.1710.0.16000,1710,16000,Parcs i Jardins,Quotes socials,,,19914.27,,19914.27,6978.31
2016.0.0.1710.0.210,1710,210,Parcs i Jardins,Rep mment.conser.Infrastr,,,135795.68,18366.75,154162.43,93377.09
2016.0.0.1710.0.609,1710,609,Parcs i Jardins,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,,,,5000.0,5000.0,
2016.1.0.1710.1518.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1518,Remodelació jardins de la Bega [Diputació IFS 2015],,10000.0,10000.0,7297.0
2016.1.0.1710.1519.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1519,Remodelació zona jocs infantils Hort del Satisfet [Diputacio IFS 2015],,26166.57,26166.57,24669.92
2016.1.0.1710.1529.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1529,Remodelació Parc de l'Alteró [Diputació IFS 2015],,86922.73,86922.73,86835.81
2016.0.0.1721.0.22699,1721,22699,Protecció i millora medi ambient,Despeses diverses,,,9314.11,6362.13,15676.24,13399.24
2016.0.0.1721.0.22799,1721,22799,Protecció i millora medi ambient,Treb.real.altres empreses,,,5288.0,,5288.0,5288.0
2016.0.0.2210.0.16209,2210,16209,Personal actiu,Despes. soc.-Prev riscos,,,9454.07,,9454.07,7618.0
2016.0.0.2210.0.22699,2210,22699,Personal actiu,Despeses diverses,,,5497.45,,5497.45,5497.45
2016.0.0.2211.0.16205,2211,16205,Segur. protec. i prom.soc,Despeses socials,,,4890.0,,4890.0,
2016.0.0.2310.0.12009,2310,12009,Assitència Social,Retribucions bàsiques,,,59573.8,-300.0,59273.8,42347.11
2016.0.0.2310.0.12103,2310,12103,Assitència Social,Retribucions complementar,,,66265.33,24974.26,91239.59,46501.65
2016.0.0.2310.0.13002,2310,13002,Assitència Social,Personal laboral fix,,,,,,15538.33
2016.0.0.2310.0.16000,2310,16000,Assitència Social,Quotes socials,,,39010.13,,39010.13,26341.31
2016.0.0.2310.0.22699,2310,22699,Assitència Social,Despeses diverses,,,3166.3,,3166.3,2830.95
2016.0.0.2310.0.22799,2310,22799,Assitència Social,Otros trabajos realizados por otras empresas y profesionales,,,1500.0,8360.44,9860.44,4198.59
2016.0.0.2311.0.480,2311,480,Acció Social,Ajudes indiv i atenc bene,,,41000.0,609.09,41609.09,35611.7
2016.0.0.2311.0.483,2311,483,Acció Social,Ajudes per a pobresa energètica,,,,,,4968.48
2016.0.0.2311.0.489,2311,489,Acció Social,Aportacions i subvencions,,,20000.0,1969.84,21969.84,16969.84
2016.0.0.2312.0.22799,2312,22799,Assistència domiciliaria,Treb.real.altres empreses,,,15000.0,,15000.0,4246.88
2016.0.0.2313.0.12009,2313,12009,Prevenció Drogodependenc.,Otras retribuciones básicas,,,18244.94,,18244.94,12844.04
2016.0.0.2313.0.12103,2313,12103,Prevenció Drogodependenc.,Otros complementos,,,18575.41,,18575.41,13268.2
2016.0.0.2313.0.16000,2313,16000,Prevenció Drogodependenc.,Seguridad Social,,,11414.31,,11414.31,6391.92
2016.0.0.2313.0.22699,2313,22699,Prevenció Drogodependenc.,Despeses diverses,,,5000.0,,5000.0,
2016.0.0.2314.0.22699,2314,22699,Entitats no lucratives,Despeses diverses,,,1000.0,-1000.0,,
2016.0.0.2314.0.489,2314,489,Entitats no lucratives,Aportacions i subvencions,,,1500.0,-1500.0,,
2016.0.0.2315.0.22699,2315,22699,Departament de la dona,Despeses diverses,,,6500.0,1674.61,8174.61,3280.71
2016.0.0.2315.0.489,2315,489,Departament de la dona,Aportacions i subvencions,,,1500.0,,1500.0,
2016.0.0.2316.0.131,2316,131,Centre de dia per a menors,Laboral temporal,,,23673.57,9587.28,33260.85,21590.84
2016.0.0.2316.0.16000,2316,16000,Centre de dia per a menors,Seguridad Social,,,7812.28,,7812.28,1654.54
2016.0.0.2316.0.202,2316,202,Centre de dia per a menors,Arrendament edifici,,,6217.92,1006.19,7224.11,2042.51
2016.0.0.2316.0.22699,2316,22699,Centre de dia per a menors,Despeses diverses,,,3000.0,1115.25,4115.25,2759.21
2016.0.0.2316.0.625,2316,625,Centre de dia per a menors,Mobiliario,,,1000.0,,1000.0,
2016.0.0.2316.0.626,2316,626,Centre de dia per a menors,Equipos para procesos de información,,,1500.0,,1500.0,
2016.0.0.2317.0.480,2317,480,Menjador social,Ajudes indiv i atenc bene,,,3600.0,,3600.0,
2016.0.0.2318.0.12009,2318,12009,Educador de Carrer,Retribucions bàsiques,,,17289.54,,17289.54,12246.4
2016.0.0.2318.1611.12009,2318,12009,Educador de Carrer,Otras retribuciones básicas,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,19088.95,19088.95,991.43
2016.1.0.2318.1513.12009,2318,12009,Educador de Carrer,Otras retribuciones básicas,1513,Conveni Fundació Ebro Foods- Itinerarios inserción socio laboral,,5283.38,5283.38,4674.05
2016.0.0.2318.0.12103,2318,12103,Educador de Carrer,Retribucions complementar,,,17882.74,,17882.74,13479.96
2016.0.0.2318.1611.12103,2318,12103,Educador de Carrer,Otros complementos,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,,,440.0
2016.1.0.2318.1513.12103,2318,12103,Educador de Carrer,Otros complementos,1513,Conveni Fundació Ebro Foods- Itinerarios inserción socio laboral,,3232.5,3232.5,2181.72
2016.0.0.2318.0.13002,2318,13002,Educador de Carrer,Personal laboral fix,,,18564.89,,18564.89,12682.28
2016.0.0.2318.0.131,2318,131,Educador de Carrer,Personal Laboral eventual,,,46082.02,,46082.02,23795.44
2016.0.0.2318.0.16000,2318,16000,Educador de Carrer,Quotes socials,,,31865.6,,31865.6,21259.78
2016.0.0.2318.1611.16000,2318,16000,Educador de Carrer,Seguridad Social,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,,,
2016.1.0.2318.1513.16000,2318,16000,Educador de Carrer,Seguridad Social,1513,Conveni Fundació Ebro Foods- Itinerarios inserción socio laboral,,3134.84,3134.84,351.68
2016.0.0.2318.0.22699,2318,22699,Educador de Carrer,Despeses diverses,,,2000.0,-2000.0,,
2016.0.0.2318.1611.22699,2318,22699,Educador de Carrer,Otros gastos diversos,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,,911.05,911.05,475.0
2016.1.0.2318.1513.22699,2318,22699,Educador de Carrer,Otros gastos diversos,1513,Conveni Fundació Ebro Foods- Itinerarios inserción socio laboral,,3963.81,3963.81,1300.0
2016.0.0.2319.0.12009,2319,12009,Ajuda a la dependència,Retribucions bàsiques,,,,,,10081.28
2016.0.0.2319.0.12103,2319,12103,Ajuda a la dependència,Retribucions complementar,,,,,,8097.9
2016.0.0.2319.0.131,2319,131,Ajuda a la dependència,Personal Laboral eventual,,,25317.85,,25317.85,
2016.0.0.2319.0.16000,2319,16000,Ajuda a la dependència,Quotes socials,,,8354.89,,8354.89,4636.32
2016.0.0.2410.1515.12009,2410,12009,Escoles Taller,Retribucions Bàsiques.  Subvenció Taller ocupació FOTAE/2015/64/46,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,57299.99,57299.99,56601.99
2016.1.0.2410.1515.12009,2410,12009,Escoles Taller,Otras retribuciones básicas,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,713.9,713.9,
2016.0.0.2410.0.131,2410,131,Escoles Taller,Personal Laboral eventual,,,929.6,729.47,1659.07,
2016.0.0.2410.1515.131,2410,131,Escoles Taller,Laboral temporal,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,85721.36,85721.36,84538.96
2016.1.0.2410.1515.131,2410,131,Escoles Taller,Laboral temporal,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,12324.05,12324.05,12324.05
2016.0.0.2410.0.16000,2410,16000,Escoles Taller,Quotes socials,,,306.77,,306.77,
2016.0.0.2410.1515.16000,2410,16000,Escoles Taller,Seguridad Social,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,21574.83,21574.83,21574.83
2016.1.0.2410.1515.16000,2410,16000,Escoles Taller,Seguridad Social,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,1616.75,1616.75,1096.06
2016.1.0.2410.1515.22699,2410,22699,Escoles Taller,Otros gastos diversos,1515,Taller Ocupació 'Mlillora Silla II' [FOTAE/2015/64/46,,24283.81,24283.81,22716.83
2016.0.0.2411.1516.12009,2411,12009,Promoció de l'ocupació,Otras retribuciones básicas,1516,T-FIL FME99/2015/11/46,,3377.8,3377.8,3376.42
2016.1.0.2411.1516.12009,2411,12009,Promoció de l'ocupació,Otras retribuciones básicas,1516,T-FIL FME99/2015/11/46,,240.91,240.91,240.91
2016.1.0.2411.1509.131,2411,131,Promoció de l'ocupació,Laboral temporal,1509,Projecte Green Commerce - ECORJV/2015/284/46,,1578.97,1578.97,1578.12
2016.1.0.2411.1510.131,2411,131,Promoció de l'ocupació,Laboral temporal,1510,Projecte Silla@activa - ECORJV/2015/465/46,,3167.74,3167.74,2144.52
2016.0.0.2411.1516.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1516,T-FIL FME99/2015/11/46,,1059.74,1059.74,1058.5
2016.1.0.2411.1509.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1509,Projecte Green Commerce - ECORJV/2015/284/46,,551.59,551.59,550.77
2016.1.0.2411.1510.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1510,Projecte Silla@activa - ECORJV/2015/465/46,,745.84,745.84,723.51
2016.1.0.2411.1516.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1516,T-FIL FME99/2015/11/46,,75.53,75.53,75.53
2016.0.0.2411.0.22699,2411,22699,Promoció de l'ocupació,Despeses diverses,,,2720.07,,2720.07,2066.67
2016.0.0.2411.1410.22699,2411,22699,Promoció de l'ocupació,Otros gastos diversos,1410,Taller d'ocupació FOTAE/2014/41/46,,1826.0,1826.0,1826.0
2016.0.0.2411.1516.22699,2411,22699,Promoció de l'ocupació,Otros gastos diversos,1516,T-FIL FME99/2015/11/46,,1118.39,1118.39,1118.39
2016.0.0.2411.1610.609,2411,609,Promoció de l'ocupació,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,1610,Tanca protecció [prèstec 2016],,1850.0,1850.0,
2016.1.0.2411.0623.632,2411,632,Promoció de l'ocupació,Edificios y otras construcciones,0623,Escola Taller-centre form,,470.0,470.0,
2016.0.0.2412.0.131,2412,131,Bossa d'ocupació,Personal Laboral eventual,,,103975.17,1710.0,105685.17,39334.11
2016.0.0.2412.1514.131,2412,131,Bossa d'ocupació,Laboral temporal,1514,Pla Ocupació Conjunt AAPP 2015 [PEC 2015],,12750.42,12750.42,12750.42
2016.1.0.2412.1514.131,2412,131,Bossa d'ocupació,Laboral temporal,1514,Pla Ocupació Conjunt AAPP 2015 [PEC 2015],,1455.64,1455.64,1455.64
2016.0.0.2412.0.16000,2412,16000,Bossa d'ocupació,Quotes socials,,,34311.81,,34311.81,6090.85
2016.0.0.2412.1514.16000,2412,16000,Bossa d'ocupació,Seguridad Social,1514,Pla Ocupació Conjunt AAPP 2015 [PEC 2015],,4175.74,4175.74,4175.74
2016.1.0.2412.1514.16000,2412,16000,Bossa d'ocupació,Seguridad Social,1514,Pla Ocupació Conjunt AAPP 2015 [PEC 2015],,1251.56,1251.56,
2016.0.0.3110.0.22100,3110,22100,Medicaments i prod sanita,Subministres,,,620.3,,620.3,513.97
2016.0.0.3110.0.480,3110,480,Medicaments i prod sanita,Ajudes indiv i atenc bene,,,15907.62,,15907.62,15907.62
2016.0.0.3111.0.22799,3111,22799,Salut Pública,Treb.real.altres empreses,,,48513.03,10430.13,58943.16,40191.51
2016.0.0.3112.0.22799,3112,22799,Desinfeccio i Desratitza.,Treb.real.altres empreses,,,8500.0,9646.37,18146.37,18146.37
2016.0.0.3113.0.13002,3113,13002,Ciutats sanes,Personal laboral fix,,,15442.91,,15442.91,9558.45
2016.0.0.3113.0.16000,3113,16000,Ciutats sanes,Quotes socials,,,4787.3,,4787.3,3037.27
2016.0.0.3113.0.22699,3113,22699,Ciutats sanes,Despeses diverses,,,8885.0,67.86,8952.86,8952.86
2016.0.0.3121.0.12009,3121,12009,Servei Mèdic,Retribucions bàsiques,,,19955.3,,19955.3,14328.9
2016.0.0.3121.0.12103,3121,12103,Servei Mèdic,Retribucions complementar,,,29938.14,,29938.14,21384.4
2016.0.0.3121.0.16000,3121,16000,Servei Mèdic,Quotes socials,,,15466.97,,15466.97,7531.68
2016.0.0.3200.0.22699,3200,22699,Ponència d'educació,Despeses diverses,,,7900.0,150.8,8050.8,4567.16
2016.1.0.3200.1501.22699,3200,22699,Ponència d'educació,Otros gastos diversos,1501,ERASMUS + Hàbits del somni,,40184.7,40184.7,36615.57
2016.1.0.3200.1501.23020,3200,23020,Ponència d'educació,Del personal no directivo,1501,ERASMUS + Hàbits del somni,,5588.0,5588.0,5123.0
2016.1.0.3200.1501.23120,3200,23120,Ponència d'educació,Del personal no directivo,1501,ERASMUS + Hàbits del somni,,1630.0,1630.0,1630.0
2016.0.0.3230.0.482,3230,482,Ensenyament Preescolar,Guarderia xiquets 0-3 any,,,6500.0,-5000.0,1500.0,
2016.0.0.3230.0.622,3230,622,Ensenyament Preescolar,Edificios y otras construcciones,,,2900.0,,2900.0,2900.0
2016.0.0.3231.0.12009,3231,12009,Ensenyament Primari,Retribucions bàsiques,,,44968.4,-353.22,44615.18,31645.1
2016.0.0.3231.0.12103,3231,12103,Ensenyament Primari,Retribucions complementar,,,47072.05,1782.71,48854.76,32646.7
2016.0.0.3231.0.16000,3231,16000,Ensenyament Primari,Quotes socials,,,28532.54,,28532.54,18009.96
2016.0.0.3231.0.212,3231,212,Ensenyament Primari,Rep.mment.i cons.edificis,,,26770.78,11210.05,37980.83,38628.89
2016.0.0.3231.0.22100,3231,22100,Ensenyament Primari,Subministres,,,122653.21,9501.83,132155.04,77740.27
2016.0.0.3231.0.619,3231,619,Ensenyament Primari,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,71157.98,,71157.98,71157.98
2016.0.0.3231.0.632,3231,632,Ensenyament Primari,Inv. repos.Edificis i con,,,,1919.73,1919.73,1919.73
2016.0.0.3231.1606.632,3231,632,Ensenyament Primari,Edificios y otras construcciones,1606,Adequació col.legi [prèstec 2016],,40000.0,40000.0,32852.01
2016.0.0.3250.0.131,3250,131,MONITOR DESPERTADOR,Laboral temporal,,,3067.47,,3067.47,871.63
2016.0.0.3250.0.16000,3250,16000,MONITOR DESPERTADOR,Seguridad Social,,,1012.27,,1012.27,
2016.0.0.3261.0.13002,3261,13002,Escola Permanent d'Adults,Personal laboral fix,,,47395.5,,47395.5,25618.7
2016.0.0.3261.0.131,3261,131,Escola Permanent d'Adults,Personal Laboral eventual,,,11558.53,,11558.53,12080.37
2016.0.0.3261.0.16000,3261,16000,Escola Permanent d'Adults,Quotes socials,,,18506.91,,18506.91,1179.74
2016.0.0.3261.0.212,3261,212,Escola Permanent d'Adults,Edificios y otras construcciones,,,,1422.75,1422.75,1422.75
2016.0.0.3261.0.22699,3261,22699,Escola Permanent d'Adults,Despeses diverses,,,1771.2,134.13,1905.33,3430.53
2016.0.0.3261.0.22799,3261,22799,Escola Permanent d'Adults,Treb.real.altres empreses,,,7083.32,14670.0,21753.32,15095.72
2016.0.0.3262.0.131,3262,131,Beques estudis,Personal Laboral eventual,,,,16057.2,16057.2,15000.0
2016.0.0.3262.0.16000,3262,16000,Beques estudis,Quotes socials,,,,,,1057.2
2016.0.0.3262.0.481,3262,481,Beques estudis,Premis i Beques,,,60000.0,-28458.09,31541.91,50.0
2016.1.0.3262.1530.481,3262,481,Beques estudis,Premis i Beques,1530,Xarxa llibres,,85234.98,85234.98,
2016.0.0.3264.0.12009,3264,12009,Gabinet psicopedagògic,Retribucions bàsiques,,,46753.14,,46753.14,24016.36
2016.0.0.3264.0.12103,3264,12103,Gabinet psicopedagògic,Retribucions complementar,,,55726.22,-41142.87,14583.35,26536.4
2016.0.0.3264.0.16000,3264,16000,Gabinet psicopedagògic,Quotes socials,,,31768.6,,31768.6,13710.56
2016.0.0.3265.0.410,3265,410,OOAA Conservatori Música,OOAA Conservatori Música,,,216042.05,,216042.05,162031.53
2016.0.0.3265.0.710,3265,710,OOAA Conservatori Música,A OOAA Conservatori Music,,,3000.0,,3000.0,
