#Aplicación presupuestaria,Económico,Desc. capítulo,Descripción,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2015.0.0.0.0.33200,33200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Emp. Expl. Suministr,264109.0,,264109.0,241756.72
2015.0.0.0.0.33300,33300,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Emp. Expl.Serv.Telec,65000.0,,65000.0,
2015.0.0.0.0.33400,33400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup. Vies Obres,2000.0,,2000.0,11844.43
2015.0.0.0.0.33500,33500,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup.Vies Taules i C,25000.0,,25000.0,40558.67
2015.0.0.0.0.33800,33800,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Comp.Telef.Expaña SA,44512.9,,44512.9,12786.71
2015.0.0.0.0.33900,33900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocu.Vies Mercat Fest,53000.0,,53000.0,45440.59
2015.0.0.0.0.33901,33901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa Ocup Vies Fira S.Seb,32575.0,,32575.0,16625.0
2015.0.0.0.0.33902,33902,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Taxa caixers automàtics,,,,1730.6
2015.0.0.0.0.34200,34200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E. cursos EPA,14327.3,,14327.3,20685.0
2015.0.0.0.0.34202,34202,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C.Campament Estiu,6155.0,,6155.0,4833.0
2015.0.0.0.0.34400,34400,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",P.P.A.E.C. Teatre,2948.0,,2948.0,6697.0
2015.0.0.0.0.34401,34401,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",p.p. escola teatre,9750.0,,9750.0,3140.0
2015.0.0.0.0.35000,35000,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Contribucions Especials,1.0,,1.0,
2015.0.0.0.0.38900,38900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Reint. PPTO. tancats  O.C,1.0,,1.0,
2015.0.0.0.0.38901,38901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Reinteg. Estat i S.S.,1.0,,1.0,
2015.0.0.0.0.38903,38903,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Reinteg.Pom.Vivendes VPO,1.0,,1.0,
2015.0.0.0.0.39120,39120,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Multes Ordenança Circulac,100000.0,,100000.0,109582.28
2015.0.0.0.0.39190,39190,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Multes i Sancions,3500.0,62143.66,65643.66,224445.86
2015.0.0.0.0.39200,39200,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recarrecs Sense Requerime,42600.0,,42600.0,1761.46
2015.0.0.0.0.39210,39210,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recarrec Executiu,17000.0,,17000.0,3015.97
2015.0.0.0.0.39211,39211,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Recarrec d'Apremi,46000.0,,46000.0,76402.67
2015.0.0.0.0.39301,39301,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Interessos de Demora,26000.0,,26000.0,55054.74
2015.0.0.0.0.39600,39600,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Cannon d'urbanització,1.0,,1.0,64608.98
2015.0.0.0.0.39610,39610,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Quotes d'Urbanització,1.0,,1.0,
2015.0.0.0.0.39620,39620,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres ingressos actuacions urbanístiques,,,,700400.57
2015.0.0.0.0.39900,39900,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Paper Cartro,42008.0,,42008.0,34052.5
2015.0.0.0.0.39901,39901,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Edictes Contr,3300.0,,3300.0,1049.89
2015.0.0.0.0.39902,39902,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ing. Conces. Aigua,33156.24,,33156.24,
2015.0.0.0.0.39903,39903,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ing.Con.Piscin.Estiu,15000.0,,15000.0,
2015.0.0.0.0.39905,39905,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ingr.Exec.Subsidiari,1.0,,1.0,1815.0
2015.0.0.0.0.39906,39906,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altr.Ing.Retir.Vehi.Aband,2143.4,,2143.4,
2015.0.0.0.0.39908,39908,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Subhasta Vedat,21887.64,86219.8,108107.44,108107.44
2015.0.0.0.0.39909,39909,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",Altres Ingressos,5000.0,13833.13,18833.13,26584.43
2015.0.0.0.0.42000,42000,TRANSFERENCIA CORRIENTES,Particip. Tributs d'Estat,2707207.2,,2707207.2,3565120.79
2015.0.0.0.0.45080,45080,TRANSFERENCIA CORRIENTES,Subvencions Generalitat,244091.53,586250.4,830341.93,834890.79
2015.0.0.0.0.46100,46100,TRANSFERENCIA CORRIENTES,Subvencions Diputació,16113.57,1040822.67,1056936.24,252536.05
2015.0.0.0.0.46600,46600,TRANSFERENCIA CORRIENTES,Subvencions F.V.M.P.,64860.49,,64860.49,
2015.0.0.0.0.48000,48000,TRANSFERENCIA CORRIENTES,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,,19292.0,19292.0,19292.0
2015.0.0.0.0.49700,49700,TRANSFERENCIA CORRIENTES,Otras transferencias de la Unión Europea,,52987.0,52987.0,56606.89
2015.0.0.0.0.52000,52000,INGRESOS PATRIMONIALES,Interessos Dipòsits E.B.,919.0,,919.0,3019.58
2015.0.0.0.0.54100,54100,INGRESOS PATRIMONIALES,Renda de Bens Immobles,1916.1,,1916.1,
2015.0.0.0.0.55003,55003,INGRESOS PATRIMONIALES,C.A. Bar Pisicna Estiu,6481.97,,6481.97,7438.02
2015.0.0.0.0.55004,55004,INGRESOS PATRIMONIALES,C.A. Parades Mercat,24557.84,,24557.84,16531.27
2015.0.0.0.0.55006,55006,INGRESOS PATRIMONIALES,Escoleta infantil,,,,7365.43
2015.0.0.0.0.55009,55009,INGRESOS PATRIMONIALES,Altres Concessions Admini,1.0,,1.0,23.65
2015.0.0.0.0.55100,55100,INGRESOS PATRIMONIALES,Cessió de Ninxols,37080.0,,37080.0,42521.92
2015.0.0.0.0.61904,61904,ENAJENACIÓN DE INVERSIONES REALES,Elements de transport,,,,1010.5
2015.0.0.0.0.72100,72100,TRANSFERENCIAS DE CAPITAL,Subvencions S.P.E.E,,19267.0,19267.0,17489.45
2015.0.0.0.0.76100,76100,TRANSFERENCIAS DE CAPITAL,Subvencions Diputació,,1222579.21,1222579.21,2020622.69
2015.0.0.0.0.87000,87000,ACTIVOS FINANCIEROS,Para gastos generales,,122131.63,122131.63,
2015.1.0.0.0.87010,87010,ACTIVOS FINANCIEROS,Financiación de incorporaciones de crédito,,1114619.88,1114619.88,
#,,,,11194928.26,4340146.38,15535074.64,16282597.01
