#Aplicación presupuestaria,Área gasto,Programa,Desc. programa,Económico,Desc. capítulo,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2018.0.0.1610.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1610,Servei d'Aigua Potable,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,21013.05,0.0,21013.05,20267.56
2018.0.0.1610.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1610,Servei d'Aigua Potable,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,26576.27,0.0,26576.27,26022.06
2018.0.0.1610.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1610,Servei d'Aigua Potable,16000,GASTOS DE PERSONAL,Seguretat Social,,,14752.69,0.0,14752.69,14757.89
2018.0.0.1640.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1640,Cementeri Municipal,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,18881.5,6709.51,25591.01,21802.93
2018.0.0.1640.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1640,Cementeri Municipal,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,24149.71,1927.3,26077.01,28327.02
2018.0.0.1640.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1640,Cementeri Municipal,16000,GASTOS DE PERSONAL,Seguretat Social,,,13339.68,973.2,14312.88,14213.21
2018.0.0.1650.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1650,Enllumenat Públic,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,24010.9,0.0,24010.9,24888.75
2018.0.0.1650.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1650,Enllumenat Públic,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,39332.25,2172.39,41504.64,39971.75
2018.0.0.1650.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1650,Enllumenat Públic,16000,GASTOS DE PERSONAL,Seguretat Social,,,19636.38,0.0,19636.38,20291.42
2018.0.0.1700.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1700,Medi ambient,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,20154.96,0.0,20154.96,20453.84
2018.0.0.1700.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1700,Medi ambient,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,25670.18,0.0,25670.18,26087.46
2018.0.0.1700.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1700,Medi ambient,16000,GASTOS DE PERSONAL,Seguretat Social,,,14205.79,0.0,14205.79,11717.58
2018.0.0.1710.0.12009,SERVICIOS PÚBLICOS BÁSICOS,1710,Parcs i Jardins,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,29668.32,-10083.76,19584.56,19845.44
2018.0.0.1710.0.12103,SERVICIOS PÚBLICOS BÁSICOS,1710,Parcs i Jardins,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,37689.89,-15604.62,22085.27,22606.58
2018.0.0.1710.0.16000,SERVICIOS PÚBLICOS BÁSICOS,1710,Parcs i Jardins,16000,GASTOS DE PERSONAL,Seguretat Social,,,20881.04,-5804.98,15076.06,11838.44
2018.0.0.2210.0.151,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2210,Personal actiu,151,GASTOS DE PERSONAL,Gratificaciones,,,1000.0,0.0,1000.0,5955.73
2018.0.0.2210.0.16200,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2210,Personal actiu,16200,GASTOS DE PERSONAL,Formación y perfeccionamiento del personal,,,20000.0,-890.9,19109.1,433.28
2018.0.0.2210.0.16209,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2210,Personal actiu,16209,GASTOS DE PERSONAL,Altres despeses socials,,,22000.0,-10377.0,11623.0,17845.2
2018.0.0.2211.0.16205,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2211,Segur. protec. i prom.soc,16205,GASTOS DE PERSONAL,Despeses socials,,,3454.93,4300.0,7754.93,3887.17
2018.0.0.2310.0.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2310,Assistència Social,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,90132.43,0.0,90132.43,103493.77
2018.0.0.2310.0.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2310,Assistència Social,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,101025.02,0.0,101025.02,112130.8
2018.0.0.2310.0.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2310,Assistència Social,131,GASTOS DE PERSONAL,Laboral temporal,,,111047.58,-15113.62,95933.96,46895.36
2018.0.0.2310.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2310,Assistència Social,16000,GASTOS DE PERSONAL,Seguretat Social,,,95904.51,8210.3,104114.81,73229.86
2018.0.0.2313.0.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2313,Prevenció Drogodependenc.,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,18427.49,0.0,18427.49,18728.48
2018.0.0.2313.0.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2313,Prevenció Drogodependenc.,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,18761.23,0.0,18761.23,19066.25
2018.0.0.2313.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2313,Prevenció Drogodependenc.,16000,GASTOS DE PERSONAL,Seguretat Social,,,11528.51,0.0,11528.51,9778.28
2018.0.0.2316.0.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2316,Centre de dia infància,131,GASTOS DE PERSONAL,Laboral temporal,,,31264.8,8778.8,40043.6,34589.96
2018.0.0.2316.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2316,Centre de dia infància,16000,GASTOS DE PERSONAL,Seguretat Social,,,10317.38,0.0,10317.38,11275.46
2018.0.0.2318.0.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,17462.44,0.0,17462.44,18562.54
2018.0.0.2318.0.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,18061.59,0.0,18061.59,18665.27
2018.0.0.2318.0.13002,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,13002,GASTOS DE PERSONAL,Altres retribucions personal laborar fix,,,19926.16,0.0,19926.16,18465.6
2018.0.0.2318.0.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,131,GASTOS DE PERSONAL,Laboral temporal,,,22342.08,0.0,22342.08,0.0
2018.0.0.2318.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,16000,GASTOS DE PERSONAL,Seguretat Social,,,24562.45,0.0,24562.45,15123.91
2018.0.0.2318.1850.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,1850,Subvenció Ebro Foods 2018,0.0,0.0,0.0,1220.15
2018.0.0.2318.1850.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,1850,Subvenció Ebro Foods 2018,0.0,0.0,0.0,1083.72
2018.0.0.2318.1850.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,131,GASTOS DE PERSONAL,Laboral temporal,1850,Subvenció Ebro Foods 2018,0.0,7727.95,7727.95,0.0
2018.0.0.2318.1850.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2318,Educador de Carrer,16000,GASTOS DE PERSONAL,Seguretat Social,1850,Subvenció Ebro Foods 2018,0.0,0.0,0.0,361.25
2018.0.0.2319.0.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2319,Ajuda a la dependència,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,0.0,0.0,0.0,14678.41
2018.0.0.2319.0.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2319,Ajuda a la dependència,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,0.0,0.0,0.0,11636.72
2018.0.0.2319.0.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2319,Ajuda a la dependència,131,GASTOS DE PERSONAL,Laboral temporal,,,26048.42,0.0,26048.42,0.0
2018.0.0.2319.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2319,Ajuda a la dependència,16000,GASTOS DE PERSONAL,Seguretat Social,,,8595.98,0.0,8595.98,7257.53
2018.0.0.2410.0.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,131,GASTOS DE PERSONAL,Laboral temporal,,,938.9,0.0,938.9,0.0
2018.0.0.2410.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,,,309.84,0.0,309.84,0.0
2018.0.0.2410.1712.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,1712,T.E. SILLA EN MARXA II - FOTAE/2017/40/46,0.0,162766.5,162766.5,188647.95
2018.0.0.2410.1712.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1712,T.E. SILLA EN MARXA II - FOTAE/2017/40/46,0.0,294837.1,294837.1,275114.54
2018.0.0.2410.1712.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1712,T.E. SILLA EN MARXA II - FOTAE/2017/40/46,0.0,63075.0,63075.0,56916.11
2018.0.0.2410.1713.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,1713,E.T. FORMEM SILLA EMPLEA FETFO/2017/14/46,0.0,35128.7,35128.7,34591.94
2018.0.0.2410.1713.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1713,E.T. FORMEM SILLA EMPLEA FETFO/2017/14/46,0.0,64454.0,64454.0,64162.19
2018.0.0.2410.1713.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1713,E.T. FORMEM SILLA EMPLEA FETFO/2017/14/46,0.0,13522.6,13522.6,14339.07
2018.0.0.2410.1854.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1854,FOTAE/2018/53/46,0.0,5187.73,5187.73,4761.05
2018.0.0.2410.1854.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2410,Taller ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1854,FOTAE/2018/53/46,0.0,1879.3,1879.3,1476.04
2018.0.0.2411.1714.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1714,Contractació a persones desocupades EMCORP/2017/189/46,0.0,22515.91,22515.91,23117.22
2018.0.0.2411.1714.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1714,Contractació a persones desocupades EMCORP/2017/189/46,0.0,7971.28,7971.28,7369.97
2018.0.0.2411.1716.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,1716,Anglès. Gestió comercial FME99/2017/4/46,0.0,932.04,932.04,1044.94
2018.0.0.2411.1716.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,1716,Anglès. Gestió comercial FME99/2017/4/46,0.0,989.67,989.67,1067.99
2018.0.0.2411.1716.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1716,Anglès. Gestió comercial FME99/2017/4/46,0.0,613.98,613.98,0.0
2018.0.0.2411.1717.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,1717,Accions d'orientació laboral persones desocupades ILPLD/2017/46/46,0.0,2535.16,2535.16,2823.88
2018.0.0.2411.1717.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,1717,Accions d'orientació laboral persones desocupades ILPLD/2017/46/46,0.0,2691.89,2691.89,2881.06
2018.0.0.2411.1717.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1717,Accions d'orientació laboral persones desocupades ILPLD/2017/46/46,0.0,1670.03,1670.03,0.0
2018.0.0.2411.1836.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1836,E.T. FORMEM SILLA EMPLEA [2ª ETAPA] FETFO/2018/31/46,0.0,314786.4,314786.4,199286.52
2018.0.0.2411.1836.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1836,E.T. FORMEM SILLA EMPLEA [2ª ETAPA] FETFO/2018/31/46,0.0,44075.86,44075.86,26675.18
2018.0.0.2411.1837.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1837,T AVALEM SILLA JOVE- PROMOCIÓ TURÍSTICA FOTAV/2018/37/46,0.0,156979.79,156979.79,90141.95
2018.0.0.2411.1837.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1837,T AVALEM SILLA JOVE- PROMOCIÓ TURÍSTICA FOTAV/2018/37/46,0.0,22882.21,22882.21,13337.64
2018.0.0.2411.1845.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1845,Garantía juvenil joves qualificatats-EMCUJU/2018/418/46,0.0,477927.08,477927.08,199817.17
2018.0.0.2411.1845.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1845,Garantía juvenil joves qualificatats-EMCUJU/2018/418/46,0.0,86675.32,86675.32,58935.14
2018.0.0.2411.1846.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1846,Garantía juvenil joves no qualificatats-EMPUJU/2018/392/46,0.0,620554.0,620554.0,209423.95
2018.0.0.2411.1846.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1846,Garantía juvenil joves no qualificatats-EMPUJU/2018/392/46,0.0,0.0,0.0,58128.36
2018.0.0.2411.1852.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1852,Parados de larga duración EMCORD/2018/35/46,0.0,3100.0,3100.0,2400.54
2018.0.0.2411.1852.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1852,Parados de larga duración EMCORD/2018/35/46,0.0,1016.18,1016.18,786.18
2018.0.0.2411.1853.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,131,GASTOS DE PERSONAL,Laboral temporal,1853,Parados de al  menys de 30 anys EMCORP/2018/28/46,0.0,3448.32,3448.32,2667.48
2018.0.0.2411.1853.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2411,Promoció de l'ocupació,16000,GASTOS DE PERSONAL,Seguretat Social,1853,Parados de al  menys de 30 anys EMCORP/2018/28/46,0.0,1129.32,1129.32,1246.73
2018.0.0.2412.0.12009,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,0.0,0.0,0.0,1130.77
2018.0.0.2412.0.12103,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,0.0,0.0,0.0,1187.37
2018.0.0.2412.0.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,131,GASTOS DE PERSONAL,Laboral temporal,,,130000.0,-5290.26,124709.74,120300.71
2018.0.0.2412.0.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,16000,GASTOS DE PERSONAL,Seguretat Social,,,42900.0,-400.6,42499.4,37071.54
2018.0.0.2412.1719.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,131,GASTOS DE PERSONAL,Laboral temporal,1719,Pec 2017,0.0,28209.06,28209.06,28392.5
2018.0.0.2412.1719.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,16000,GASTOS DE PERSONAL,Seguretat Social,1719,Pec 2017,0.0,8981.82,8981.82,6958.74
2018.0.0.2412.1838.131,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,131,GASTOS DE PERSONAL,Laboral temporal,1838,PEC 2018,0.0,28209.06,28209.06,28004.76
2018.0.0.2412.1838.16000,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2412,Programa ocupació emergència social,16000,GASTOS DE PERSONAL,Seguretat Social,1838,PEC 2018,0.0,8981.82,8981.82,8862.17
2018.0.0.3113.0.13002,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3113,Ciutats sanes,13002,GASTOS DE PERSONAL,Altres retribucions personal laborar fix,,,15597.33,-1491.32,14106.01,14106.01
2018.0.0.3113.0.16000,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3113,Ciutats sanes,16000,GASTOS DE PERSONAL,Seguretat Social,,,4835.17,-218.57,4616.6,4474.41
2018.0.0.3113.1847.12009,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3113,Ciutats sanes,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,1847,Implementació Local Estrat. Promoc. Salut EPSP. Sub. RECS de la F.E.M.P.,0.0,0.0,0.0,2375.3
2018.0.0.3113.1847.12103,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3113,Ciutats sanes,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,1847,Implementació Local Estrat. Promoc. Salut EPSP. Sub. RECS de la F.E.M.P.,0.0,0.0,0.0,951.77
2018.0.0.3113.1847.131,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3113,Ciutats sanes,131,GASTOS DE PERSONAL,Laboral temporal,1847,Implementació Local Estrat. Promoc. Salut EPSP. Sub. RECS de la F.E.M.P.,0.0,3426.78,3426.78,0.0
2018.0.0.3113.1847.16000,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3113,Ciutats sanes,16000,GASTOS DE PERSONAL,Seguretat Social,1847,Implementació Local Estrat. Promoc. Salut EPSP. Sub. RECS de la F.E.M.P.,0.0,1074.31,1074.31,1043.05
2018.0.0.3121.0.12009,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3121,Servei Mèdic,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,20154.96,0.0,20154.96,20484.71
2018.0.0.3121.0.12103,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3121,Servei Mèdic,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,30237.54,0.0,30237.54,30729.02
2018.0.0.3121.0.16000,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3121,Servei Mèdic,16000,GASTOS DE PERSONAL,Seguretat Social,,,15621.67,-2965.53,12656.14,11834.91
2018.0.0.3231.0.12009,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3231,Centres educatius,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,64568.98,-4039.6,60529.38,64007.15
2018.0.0.3231.0.12103,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3231,Centres educatius,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,64550.94,0.0,64550.94,63543.79
2018.0.0.3231.0.16000,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3231,Centres educatius,16000,GASTOS DE PERSONAL,Seguretat Social,,,40027.18,0.0,40027.18,37556.56
2018.0.0.3250.0.12009,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3250,Monitor despertador,12009,GASTOS DE PERSONAL,Altres retribucions bàsiques,,,0.0,0.0,0.0,1059.82
2018.0.0.3250.0.12103,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3250,Monitor despertador,12103,GASTOS DE PERSONAL,Altres retribucions complementàries,,,0.0,0.0,0.0,669.25
2018.0.0.3250.0.131,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3250,Monitor despertador,131,GASTOS DE PERSONAL,Laboral temporal,,,3098.14,3082.43,6180.57,1034.64
2018.0.0.3250.0.16000,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3250,Monitor despertador,16000,GASTOS DE PERSONAL,Seguretat Social,,,1022.39,0.0,1022.39,883.54
2018.0.0.3261.0.13002,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3261,Centre de formació de persones adultes,13002,GASTOS DE PERSONAL,Altres retribucions personal laborar fix,,,44038.89,-2796.68,41242.21,36599.2
2018.0.0.3261.0.131,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3261,Centre de formació de persones adultes,131,GASTOS DE PERSONAL,Laboral temporal,,,11674.12,0.0,11674.12,17478.22
