#Aplicación presupuestaria,Económico,Desc. capítulo,Desc. económico,Previsión inicial,Modificaciones,Previsión definitiva,DR neto
2017.0.0.0.0.55004,55004,INGRESOS PATRIMONIALES,C.A. Parades Mercat,18690.0,,18690.0,19567.72
2017.0.0.0.0.55005,55005,INGRESOS PATRIMONIALES,C.A. Serv. Aigua Potable,6767.0,,6767.0,
2017.0.0.0.0.55006,55006,INGRESOS PATRIMONIALES,Escoleta infantil,20107.94,,20107.94,20530.67
2017.0.0.0.0.55007,55007,INGRESOS PATRIMONIALES,Concessions administratives-col.legi Sagrada Samilia,6.0,,6.0,
2017.0.0.0.0.55009,55009,INGRESOS PATRIMONIALES,Altres Concessions Admini,,,,1312.35
2017.0.0.0.0.55100,55100,INGRESOS PATRIMONIALES,Cessió de Ninxols,30000.0,,30000.0,23723.0
2017.0.0.0.0.72100,72100,TRANSFERENCIAS DE CAPITAL,Del Servicio Público de Empleo Estatal,19267.0,,19267.0,19382.62
2017.0.0.0.0.75080,75080,TRANSFERENCIAS DE CAPITAL,Otras transferencias de capital de la Administración General de la Comunidad Autónoma,,997.12,997.12,997.12
2017.0.0.0.0.76100,76100,TRANSFERENCIAS DE CAPITAL,Subvencions Diputació,130080.0,113457.77,243537.77,113457.77
2017.0.0.0.0.87000,87000,ACTIVOS FINANCIEROS,Para gastos generales,,543947.82,543947.82,
2017.0.0.0.0.87010,87010,ACTIVOS FINANCIEROS,Para gastos con financiación afectada,,1660381.48,1660381.48,
#,,,,12227726.87,3782022.88,16009749.75,13544820.21
